,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,noise,2.0,1.2,4.5,1,0.6,1535451270422,1535451277129,1.13233356878497
1,noise,1.0,0.0,2.0,1,0.6,1535451277236,1535451280970,0.8651856664502241
2,noise,5.65685424949,1.2,2.5,1,0.6,1535451281078,1535451285677,3.1565581844187003
3,noise,5.65685424949,0.0,2.0,1,0.6,1535451285787,1535451290333,3.00251298053852
4,noise,5.65685424949,0.0,2.0,1,0.6,1535451290443,1535451294506,2.87413697905652
5,noise,2.0,0.0,2.0,1,0.6,1535451294611,1535451298627,1.37704780532347
6,noise,4.0,1.2,4.5,1,0.6,1535451298732,1535451305144,2.53740354036338
7,noise,1.0,1.2,4.5,1,0.6,1535451305255,1535451311541,1.0955921028352
8,noise,1.4142135623700003,0.0,2.0,1,0.6,1535451311648,1535451315464,1.2019322461416002
9,noise,2.82842712475,0.0,2.0,1,0.6,1535451315570,1535451319543,2.32671267186431
10,noise,2.82842712475,0.0,2.0,1,0.6,1535451319657,1535451323731,2.2186272906765603
11,noise,5.65685424949,1.2,4.5,1,0.6,1535451323840,1535451330239,2.7379914789639197
12,noise,2.82842712475,0.0,2.0,1,0.6,1535451330345,1535451334211,2.00330093095342
13,noise,1.0,1.2,4.5,1,0.6,1535451334323,1535451340640,0.9395580200337159
14,noise,5.65685424949,1.2,4.5,1,0.6,1535451340744,1535451347170,3.06688521293524
15,noise,1.0,1.2,4.5,1,0.6,1535451347278,1535451353568,0.981789692038825
16,noise,2.0,1.2,2.5,1,0.6,1535451353677,1535451358302,1.47366471770197
17,noise,2.82842712475,1.2,2.5,1,0.6,1535451358416,1535451362836,1.55113693272196
18,noise,5.65685424949,0.0,2.0,1,0.6,1535451362949,1535451366957,2.0408745404918798
19,noise,2.82842712475,1.2,2.5,1,0.6,1535451367067,1535451371555,1.58396670089641
20,noise,1.4142135623700003,1.2,2.5,1,0.6,1535451371665,1535451375981,0.797223444832697
21,noise,2.82842712475,1.2,2.5,1,0.6,1535451376090,1535451380795,1.3370363421066398
22,noise,1.0,0.0,2.0,1,0.6,1535451380909,1535451384729,0.949144860439183
23,noise,1.4142135623700003,0.0,2.0,1,0.6,1535451384841,1535451388581,1.6496338565883601
24,noise,4.0,1.2,2.5,1,0.6,1535451388689,1535451393408,1.55001140407705
25,noise,4.0,0.0,2.0,1,0.6,1535451393522,1535451397652,2.06179315967151
26,noise,2.0,1.2,4.5,1,0.6,1535451397771,1535451404329,1.58511499952906
27,noise,4.0,0.0,2.0,1,0.6,1535451404439,1535451408381,1.9108922546025802
28,noise,5.65685424949,1.2,2.5,1,0.6,1535451408499,1535451413094,2.0044041443268896
29,noise,2.0,1.2,4.5,1,0.6,1535451413205,1535451419478,1.2361223786090902
30,noise,5.65685424949,0.0,2.0,1,0.6,1535451419595,1535451423560,2.07955771961002
31,noise,1.4142135623700003,1.2,4.5,1,0.6,1535451423670,1535451430119,1.34090308747689
32,noise,5.65685424949,1.2,2.5,1,0.6,1535451430234,1535451434957,1.7097587813814599
33,noise,2.82842712475,1.2,2.5,1,0.6,1535451435072,1535451439675,1.51037476055655
