,condition,start_distance,approach_speed,acceleration_time,height,trial_started,trial_ended,response
0,rattle_mod,2.82842712475,1,1,0.6,1535621927472,1535621931172,1.33280265331268
1,rattle_const,8.0,1,1,0.6,1535621931302,1535621939627,1.9743843078613301
2,rattle_mod,8.0,1,1,0.6,1535621939769,1535621946083,3.7363319396972696
3,rattle_const,1.4142135623700003,1,1,0.6,1535621946210,1535621948546,1.1076982021331798
4,rattle_mod,2.0,1,1,0.6,1535621948671,1535621950745,1.85478377342224
5,rattle_mod,5.65685424949,1,1,0.6,1535621950872,1535621954853,3.7038588523864706
6,rattle_mod,8.0,1,1,0.6,1535621954981,1535621961641,3.4153215885162402
7,rattle_const,2.0,1,1,0.6,1535621961784,1535621964092,1.6978327035903897
8,rattle_const,8.0,1,1,0.6,1535621964218,1535621971346,2.98602294921875
9,rattle_const,2.82842712475,1,1,0.6,1535621971475,1535621974933,1.692387342453
10,rattle_const,8.0,1,1,0.6,1535621975064,1535621982496,2.6060948371887203
11,rattle_mod,4.0,1,1,0.6,1535621982624,1535621985015,3.6489057540893595
12,rattle_mod,1.4142135623700003,1,1,0.6,1535621985144,1535621987052,1.3423910140991202
13,rattle_const,1.4142135623700003,1,1,0.6,1535621987179,1535621989840,0.778509557247162
14,rattle_const,1.4142135623700003,1,1,0.6,1535621989982,1535621992480,0.9366683363914491
15,rattle_mod,4.0,1,1,0.6,1535621992624,1535621997402,1.2407913208007801
16,rattle_const,2.0,1,1,0.6,1535621997532,1535622000320,1.2365798950195301
17,rattle_const,1.4142135623700003,1,1,0.6,1535622000446,1535622003082,0.795179724693298
18,rattle_mod,8.0,1,1,0.6,1535622003223,1535622011762,1.48216247558594
19,rattle_const,4.0,1,1,0.6,1535622011888,1535622016655,1.2652894258499099
20,rattle_mod,8.0,1,1,0.6,1535622016782,1535622025602,1.1937561035156299
21,rattle_mod,1.4142135623700003,1,1,0.6,1535622025748,1535622027761,1.30894660949707
22,rattle_mod,2.0,1,1,0.6,1535622027891,1535622030748,1.17887127399445
23,rattle_const,2.0,1,1,0.6,1535622030875,1535622034039,0.8788757920265201
24,rattle_const,8.0,1,1,0.6,1535622034170,1535622042989,1.26432061195374
25,rattle_mod,2.0,1,1,0.6,1535622043133,1535622046040,1.10469818115234
