,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,noise,2.82842712475,1.2,4.5,1,0.6,1536056686052,1536056693107,1.35189208778204
1,noise,4.0,1.2,2.5,1,0.6,1536056693222,1536056698976,1.87568269087997
2,noise,1.4142135623700003,1.2,2.5,1,0.6,1536056699090,1536056704119,0.5996084925840489
3,noise,5.65685424949,1.2,4.5,1,0.6,1536056704237,1536056711400,2.10428588897349
4,noise,2.0,1.2,2.5,1,0.6,1536056711518,1536056716824,0.838475064636307
5,noise,5.65685424949,1.2,2.5,1,0.6,1536056716940,1536056721878,2.45372365955348
6,noise,4.0,0.0,2.0,1,0.6,1536056721998,1536056725893,1.4887386885657001
7,noise,2.0,0.0,2.0,1,0.6,1536056726014,1536056730107,0.696640813168959
8,noise,4.0,0.0,2.0,1,0.6,1536056730222,1536056734613,1.15193952685234
9,noise,1.4142135623700003,1.2,2.5,1,0.6,1536056734732,1536056739441,0.769894884885878
10,noise,1.0,1.2,4.5,1,0.6,1536056739557,1536056746279,0.554499309792349
11,noise,1.0,1.2,4.5,1,0.6,1536056746397,1536056753280,0.653127219611046
12,noise,4.0,1.2,4.5,1,0.6,1536056753403,1536056761093,1.30190920120327
13,noise,2.82842712475,0.0,2.0,1,0.6,1536056761209,1536056764960,1.09423131001248
14,noise,4.0,1.2,4.5,1,0.6,1536056765077,1536056772069,1.2422792363331998
15,noise,5.65685424949,1.2,2.5,1,0.6,1536056772189,1536056777572,1.4852192497725298
16,noise,2.82842712475,1.2,4.5,1,0.6,1536056777687,1536056784560,0.629032936260309
17,noise,1.4142135623700003,0.0,2.0,1,0.6,1536056784680,1536056788424,0.41469069005315295
18,noise,5.65685424949,1.2,2.5,1,0.6,1536056788592,1536056794827,2.4654070554938197
19,noise,2.0,1.2,4.5,1,0.6,1536056794990,1536056802172,0.9210138507016871
20,noise,1.0,1.2,2.5,1,0.6,1536056802340,1536056807359,0.5342695215136429
21,noise,2.0,1.2,4.5,1,0.6,1536056807523,1536056814263,0.8729156999633672
22,noise,5.65685424949,1.2,2.5,1,0.6,1536056814430,1536056820412,1.75686540425479
23,noise,5.65685424949,0.0,2.0,1,0.6,1536056820577,1536056824693,1.2379264381158601
24,noise,4.0,1.2,4.5,1,0.6,1536056824845,1536056833067,1.37545435024832
25,noise,5.65685424949,1.2,4.5,1,0.6,1536056833235,1536056841172,1.94320403909332
26,noise,1.0,1.2,2.5,1,0.6,1536056841337,1536056846479,0.574528943467374
27,noise,2.0,1.2,2.5,1,0.6,1536056846639,1536056851224,0.9181229235611421
28,noise,2.82842712475,0.0,2.0,1,0.6,1536056851389,1536056855707,0.969824237024099
29,noise,2.82842712475,0.0,2.0,1,0.6,1536056855868,1536056860532,0.7641346807531841
30,noise,1.4142135623700003,0.0,2.0,1,0.6,1536056860698,1536056864505,0.45332696417532303
31,noise,1.0,0.0,2.0,1,0.6,1536056864670,1536056868612,0.49314885504166706
32,noise,2.82842712475,1.2,2.5,1,0.6,1536056868777,1536056875229,1.27861497346768
33,noise,1.4142135623700003,0.0,2.0,1,0.6,1536056875396,1536056879121,0.607914104318798
34,noise,2.0,0.0,2.0,1,0.6,1536056879282,1536056882957,0.9858438176405581
35,noise,5.65685424949,0.0,2.0,1,0.6,1536056883121,1536056887547,1.6199708901394299
36,noise,5.65685424949,0.0,2.0,1,0.6,1536056887707,1536056891761,1.40100020893909
37,noise,1.0,1.2,4.5,1,0.6,1536056891924,1536056898863,0.6162902025347379
38,noise,1.4142135623700003,1.2,4.5,1,0.6,1536056899029,1536056907065,0.819866491797935
39,noise,5.65685424949,1.2,2.5,1,0.6,1536056907229,1536056913465,2.1093947310192402
40,noise,4.0,1.2,2.5,1,0.6,1536056913628,1536056919160,2.00325691547306
41,noise,1.0,0.0,2.0,1,0.6,1536056919328,1536056923148,0.535098790407641
42,noise,2.0,0.0,2.0,1,0.6,1536056923312,1536056927426,1.0078382441348102
43,noise,2.0,1.2,4.5,1,0.6,1536056927585,1536056934411,0.890773539663746
44,noise,1.4142135623700003,1.2,2.5,1,0.6,1536056934575,1536056939426,0.588835753217885
45,noise,1.4142135623700003,0.0,2.0,1,0.6,1536056939591,1536056943331,0.711275775220305
