,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,noise,2.0,1.2,4.5,1,0.6,1534249190802,1534249197993,0.9516756795999121
1,noise,4.0,1.2,2.5,1,0.6,1534249198112,1534249204125,1.7185898660848
2,noise,2.82842712475,1.2,4.5,1,0.6,1534249204232,1534249211341,1.1487872734641
3,noise,5.65685424949,0.0,2.0,1,0.6,1534249211450,1534249216583,2.3900597989819596
4,noise,1.4142135623700003,0.0,2.0,1,0.6,1534249216692,1534249221313,0.7451788333718058
5,noise,4.0,1.2,4.5,1,0.6,1534249221423,1534249228312,1.8243535785373401
6,noise,1.0,0.0,2.0,1,0.6,1534249228420,1534249232620,0.498992750169316
7,noise,4.0,1.2,4.5,1,0.6,1534249232731,1534249240127,1.3589431697936498
8,noise,2.82842712475,0.0,2.0,1,0.6,1534249240238,1534249244646,1.3563489792466399
9,noise,2.0,1.2,2.5,1,0.6,1534249244750,1534249251688,1.20365601717624
10,noise,1.4142135623700003,0.0,2.0,1,0.6,1534249251796,1534249255846,0.498000522207335
11,noise,1.4142135623700003,0.0,2.0,1,0.6,1534249255957,1534249259856,0.7341436959248309
12,noise,2.82842712475,1.2,4.5,1,0.6,1534249259973,1534249267166,1.14688314615313
13,noise,4.0,0.0,2.0,1,0.6,1534249267277,1534249273103,1.26529675080406
14,noise,5.65685424949,1.2,4.5,1,0.6,1534249273216,1534249282208,3.1229553479975998
15,noise,4.0,1.2,2.5,1,0.6,1534249282321,1534249288302,2.99477989165578
16,noise,5.65685424949,1.2,4.5,1,0.6,1534249288414,1534249297781,3.57255808139117
17,noise,5.65685424949,0.0,2.0,1,0.6,1534249297891,1534249302367,4.79484055711794
18,noise,4.0,0.0,2.0,1,0.6,1534249302481,1534249307392,3.4717809810477998
19,noise,2.82842712475,1.2,4.5,1,0.6,1534249307507,1534249315032,1.1728712112135602
20,noise,2.82842712475,1.2,4.5,1,0.6,1534249315146,1534249322795,1.2736619599906203
21,noise,2.82842712475,1.2,2.5,1,0.6,1534249322906,1534249327645,2.3583733585375
22,noise,4.0,0.0,2.0,1,0.6,1534249327753,1534249331700,2.44342396280752
23,noise,5.65685424949,1.2,2.5,1,0.6,1534249331814,1534249337365,2.9197103044031203
24,noise,2.0,0.0,2.0,1,0.6,1534249337476,1534249341486,0.8279772905176629
25,noise,2.82842712475,1.2,2.5,1,0.6,1534249341595,1534249347289,2.3155474011350896
26,noise,5.65685424949,1.2,2.5,1,0.6,1534249347402,1534249353155,3.25678671310348
27,noise,1.0,1.2,2.5,1,0.6,1534249353268,1534249358660,0.843600170137857
28,noise,5.65685424949,1.2,4.5,1,0.6,1534249358775,1534249366821,3.2920188774705
29,noise,2.82842712475,0.0,2.0,1,0.6,1534249366934,1534249371194,1.4653590399517
30,noise,1.0,1.2,4.5,1,0.6,1534249371308,1534249378794,1.3268319609658101
31,noise,4.0,1.2,4.5,1,0.6,1534249378900,1534249385645,1.47209952289299
32,noise,1.4142135623700003,1.2,2.5,1,0.6,1534249385760,1534249391099,0.836066335577631
33,noise,1.4142135623700003,1.2,4.5,1,0.6,1534249391215,1534249398554,0.9064865594821991
34,noise,2.82842712475,1.2,4.5,1,0.6,1534249398669,1534249406047,1.19495464999817
35,noise,2.0,1.2,2.5,1,0.6,1534249406162,1534249411353,1.4601129319585202
36,noise,1.0,0.0,2.0,1,0.6,1534249411471,1534249415392,0.7152375485373779
37,noise,5.65685424949,1.2,2.5,1,0.6,1534249415505,1534249421277,2.42229401711832
38,noise,5.65685424949,0.0,2.0,1,0.6,1534249421395,1534249425863,5.563895775208981
39,noise,2.82842712475,1.2,4.5,1,0.6,1534249425966,1534249434184,1.71664697107977
40,noise,1.4142135623700003,0.0,2.0,1,0.6,1534249434297,1534249439408,1.0598913336723
41,noise,2.0,1.2,4.5,1,0.6,1534249439516,1534249446668,0.979017961239828
42,noise,2.82842712475,0.0,2.0,1,0.6,1534249446787,1534249451006,0.9751303722478629
43,noise,5.65685424949,1.2,4.5,1,0.6,1534249451119,1534249459299,4.61614475096255
44,noise,1.4142135623700003,1.2,2.5,1,0.6,1534249459418,1534249464296,1.3339834110468798
45,noise,5.65685424949,0.0,2.0,1,0.6,1534249464416,1534249470379,4.45326082395843
46,noise,1.4142135623700003,0.0,2.0,1,0.6,1534249470500,1534249475582,1.00253447094686
47,noise,2.82842712475,1.2,4.5,1,0.6,1534249475700,1534249484155,1.37422471423736
48,noise,2.0,1.2,2.5,1,0.6,1534249484273,1534249489632,1.64541860514537
49,noise,2.82842712475,1.2,4.5,1,0.6,1534249489741,1534249498820,1.61522950728993
50,noise,4.0,0.0,2.0,1,0.6,1534249498937,1534249504021,3.25733260213737
51,noise,5.65685424949,1.2,2.5,1,0.6,1534249504134,1534249510152,4.55757867103662
52,noise,2.0,0.0,2.0,1,0.6,1534249510270,1534249514633,1.76381196196682
53,noise,2.82842712475,1.2,2.5,1,0.6,1534249514750,1534249520648,3.22167350967228
54,noise,2.0,1.2,2.5,1,0.6,1534249520765,1534249527927,2.31377352687342
55,noise,4.0,1.2,4.5,1,0.6,1534249528042,1534249534885,2.06964096947363
