,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,rattle_const,2.0,1.2,4.5,1,0.6,1531811706200,1531811713391,0.648766456928734
1,rattle_const,4.0,1.2,4.5,1,0.6,1531811713507,1531811720938,0.856975885211202
2,rattle_mod,4.0,1.2,2.5,1,0.6,1531811721054,1531811726045,0.8331960111570358
3,rattle_const,1.4142135623700003,1.2,2.5,1,0.6,1531811726158,1531811731069,0.560448057674528
4,rattle_const,2.0,0.0,2.0,1,0.6,1531811731182,1531811735377,0.731796964626652
5,rattle_mod,1.0,0.0,2.0,1,0.6,1531811735491,1531811740176,0.77985237617701
6,rattle_const,1.4142135623700003,0.0,2.0,1,0.6,1531811740290,1531811744806,0.633330921020681
7,rattle_mod,1.0,1.2,4.5,1,0.6,1531811744919,1531811752217,0.9492362107831271
8,rattle_mod,4.0,1.2,4.5,1,0.6,1531811752333,1531811759191,1.3149161081672098
9,rattle_const,5.65685424949,1.2,4.5,1,0.6,1531811759307,1531811766515,1.73444573932571
10,rattle_const,1.0,1.2,2.5,1,0.6,1531811766633,1531811771685,0.7845175914299058
11,rattle_mod,2.82842712475,0.0,2.0,1,0.6,1531811771804,1531811776406,1.17537319522983
12,rattle_const,4.0,1.2,4.5,1,0.6,1531811776517,1531811783381,1.1670394016191599
13,rattle_mod,1.4142135623700003,1.2,2.5,1,0.6,1531811783500,1531811788271,0.779339502230354
14,rattle_mod,2.82842712475,1.2,4.5,1,0.6,1531811788382,1531811795125,0.896082496948439
15,rattle_mod,4.0,1.2,4.5,1,0.6,1531811795236,1531811802488,0.925765404477683
16,rattle_const,4.0,1.2,2.5,1,0.6,1531811802602,1531811807301,1.65898275970656
17,rattle_const,5.65685424949,0.0,2.0,1,0.6,1531811807416,1531811811885,1.43393370353304
18,rattle_const,5.65685424949,1.2,2.5,1,0.6,1531811812000,1531811816765,1.54836910668045
19,rattle_mod,2.0,1.2,4.5,1,0.6,1531811816874,1531811823537,0.7609933995730831
20,rattle_const,4.0,1.2,4.5,1,0.6,1531811823649,1531811830978,1.1966050227980198
21,rattle_const,1.0,0.0,2.0,1,0.6,1531811831093,1531811835270,0.6925129609872609
22,rattle_const,5.65685424949,1.2,4.5,1,0.6,1531811835379,1531811842820,1.50319243433469
23,rattle_mod,4.0,0.0,2.0,1,0.6,1531811842946,1531811847381,1.07523704355979
24,rattle_const,2.0,1.2,2.5,1,0.6,1531811847493,1531811852846,1.14198609416985
25,rattle_const,1.0,0.0,2.0,1,0.6,1531811852964,1531811857338,0.71794549741144
26,rattle_mod,5.65685424949,1.2,4.5,1,0.6,1531811857454,1531811864702,1.81941214582634
27,rattle_const,2.82842712475,1.2,4.5,1,0.6,1531811864824,1531811871885,1.06659477567543
28,rattle_mod,4.0,1.2,2.5,1,0.6,1531811872002,1531811877579,0.990513590981664
29,rattle_mod,2.0,1.2,2.5,1,0.6,1531811877696,1531811882473,0.942811976609246
30,rattle_const,4.0,1.2,2.5,1,0.6,1531811882589,1531811888045,1.43664392313062
31,rattle_mod,5.65685424949,0.0,2.0,1,0.6,1531811888161,1531811893019,1.33831396659194
32,rattle_const,5.65685424949,1.2,2.5,1,0.6,1531811893134,1531811898511,1.25577625500096
33,rattle_const,1.4142135623700003,1.2,2.5,1,0.6,1531811898625,1531811903658,0.699807273352544
34,rattle_const,2.0,1.2,4.5,1,0.6,1531811903771,1531811911003,0.6866791106317571
35,rattle_const,2.0,1.2,4.5,1,0.6,1531811913541,1531811920939,0.7690221232133649
36,rattle_mod,4.0,1.2,2.5,1,0.6,1531811921048,1531811928378,0.9302923929668451
37,rattle_mod,2.82842712475,0.0,2.0,1,0.6,1531811928714,1531811933979,2.20223974151188
38,rattle_mod,1.4142135623700003,1.2,2.5,1,0.6,1531811934092,1531811938912,1.15180961431494
39,rattle_const,2.0,1.2,4.5,1,0.6,1531811945413,1531811952515,0.9316227264557199
40,rattle_const,1.4142135623700003,0.0,2.0,1,0.6,1531811955036,1531811960686,0.7100466235344001
41,rattle_const,4.0,1.2,4.5,1,0.6,1531811961167,1531811970711,0.880693123496734
42,rattle_const,1.4142135623700003,0.0,2.0,1,0.6,1531811971075,1531811975567,0.715043295480631
43,rattle_const,1.0,1.2,2.5,1,0.6,1531811975679,1531811981644,0.9322377880257501
44,rattle_mod,2.82842712475,1.2,2.5,1,0.6,1531811982151,1531811987526,1.63495707267653
45,rattle_const,2.82842712475,0.0,2.0,1,0.6,1531811987638,1531811992565,1.01398463585113
46,rattle_const,1.4142135623700003,1.2,2.5,1,0.6,1531811992709,1531811999936,1.0905553040895999
47,rattle_mod,2.82842712475,1.2,4.5,1,0.6,1531812000043,1531812008259,1.5257395387902701
48,rattle_mod,1.4142135623700003,0.0,2.0,1,0.6,1531812010742,1531812015794,1.27243764138307
49,rattle_const,2.82842712475,1.2,4.5,1,0.6,1531812015908,1531812025565,1.08509085941195
50,rattle_const,2.0,1.2,4.5,1,0.6,1531812027658,1531812035046,0.8825631507391469
51,rattle_mod,4.0,1.2,4.5,1,0.6,1531812035170,1531812042606,1.14937929891425
52,rattle_mod,4.0,0.0,2.0,1,0.6,1531812042715,1531812047353,1.41453463818799
53,rattle_const,5.65685424949,0.0,2.0,1,0.6,1531812047463,1531812052367,1.7284002585354798
54,rattle_mod,5.65685424949,1.2,2.5,1,0.6,1531812052478,1531812059020,1.4143435707498797
55,rattle_const,1.0,0.0,2.0,1,0.6,1531812059137,1531812063661,0.814542961587731
56,rattle_mod,1.0,0.0,2.0,1,0.6,1531812063776,1531812068298,0.92587083797648
57,rattle_const,2.0,0.0,2.0,1,0.6,1531812068413,1531812073272,1.59252288968801
58,rattle_const,5.65685424949,1.2,2.5,1,0.6,1531812073384,1531812078338,1.3997713058276
59,rattle_const,4.0,0.0,2.0,1,0.6,1531812078452,1531812083071,1.5710391790721001
60,rattle_mod,2.0,1.2,2.5,1,0.6,1531812083182,1531812088618,1.69750037118817
61,rattle_const,1.0,1.2,2.5,1,0.6,1531812088733,1531812094164,1.13196028649066
62,rattle_mod,2.82842712475,1.2,2.5,1,0.6,1531812094278,1531812099457,1.21368885047992
63,rattle_const,1.4142135623700003,1.2,2.5,1,0.6,1531812099572,1531812104721,0.8940061455131542
64,rattle_const,2.82842712475,0.0,2.0,1,0.6,1531812104834,1531812110193,1.41945921425051
65,rattle_mod,1.4142135623700003,0.0,2.0,1,0.6,1531812110308,1531812114857,1.0996041886157701
66,rattle_mod,2.82842712475,0.0,2.0,1,0.6,1531812114969,1531812119500,1.87951773801011
67,rattle_const,2.82842712475,1.2,2.5,1,0.6,1531812119611,1531812124725,1.59783857942153
68,rattle_const,4.0,1.2,4.5,1,0.6,1531812124834,1531812132273,1.64311871383317
69,rattle_mod,1.0,0.0,2.0,1,0.6,1531812132383,1531812136779,0.90124556694873
70,rattle_mod,2.0,0.0,2.0,1,0.6,1531812136891,1531812141407,2.00892062312511
71,rattle_mod,1.4142135623700003,1.2,2.5,1,0.6,1531812141523,1531812146460,1.8086778547407703
72,rattle_mod,2.82842712475,1.2,4.5,1,0.6,1531812146575,1531812154195,1.18510821172038
73,rattle_const,1.4142135623700003,1.2,4.5,1,0.6,1531812154308,1531812161377,0.9277592870340731
