,condition,start_distance,approach_speed,acceleration_time,height,trial_started,trial_ended,response
0,rattle_mod,5.65685424949,1,1,0.6,1532951455184,1532951461271,1.70939803123474
1,rattle_mod,1.4142135623700003,1,1,0.6,1532951461390,1532951463549,1.24618721008301
2,rattle_const,5.65685424949,1,1,0.6,1532951463682,1532951470539,0.8749787211418149
3,rattle_const,1.4142135623700003,1,1,0.6,1532951470675,1532951473709,0.6589454412460329
4,rattle_mod,8.0,1,1,0.6,1532951473834,1532951482496,1.56018447875977
5,rattle_const,8.0,1,1,0.6,1532951482638,1532951490886,2.16555404663086
6,rattle_const,2.82842712475,1,1,0.6,1532951491025,1532951494458,1.50794315338135
7,rattle_const,1.4142135623700003,1,1,0.6,1532951494585,1532951496765,1.23603856563568
8,rattle_const,2.82842712475,1,1,0.6,1532951496900,1532951500779,1.00948786735535
9,rattle_mod,1.4142135623700003,1,1,0.6,1532951500917,1532951503085,1.2259881496429401
10,rattle_mod,2.82842712475,1,1,0.6,1532951503208,1532951507057,1.06192469596863
11,rattle_mod,4.0,1,1,0.6,1532951507182,1532951512033,1.24269104003906
12,rattle_const,8.0,1,1,0.6,1532951512172,1532951520846,1.43587505817413
13,rattle_const,8.0,1,1,0.6,1532951520985,1532951529781,1.2628479003906299
14,rattle_const,5.65685424949,1,1,0.6,1532951529908,1532951535844,1.8137527704238898
15,rattle_mod,1.4142135623700003,1,1,0.6,1532951535980,1532951538778,0.653982579708099
16,rattle_const,2.0,1,1,0.6,1532951538918,1532951541804,1.1845017671585099
17,rattle_const,2.82842712475,1,1,0.6,1532951541945,1532951545857,0.97185230255127
18,rattle_const,2.0,1,1,0.6,1532951546001,1532951548923,1.2031556367874099
19,rattle_mod,8.0,1,1,0.6,1532951549069,1532951557955,1.16058349609375
20,rattle_const,1.4142135623700003,1,1,0.6,1532951558087,1532951560525,1.02490508556366
21,rattle_mod,2.82842712475,1,1,0.6,1532951560666,1532951564457,1.0946090221405
22,rattle_const,5.65685424949,1,1,0.6,1532951564586,1532951571298,1.07966005802155
23,rattle_mod,8.0,1,1,0.6,1532951571422,1532951580287,1.20594787597656
24,rattle_mod,8.0,1,1,0.6,1532951580415,1532951589220,1.25543212890625
25,rattle_mod,8.0,1,1,0.6,1532951589343,1532951598178,1.23854064941406
26,rattle_const,1.4142135623700003,1,1,0.6,1532951598304,1532951600953,0.837568640708923
27,rattle_const,1.4142135623700003,1,1,0.6,1532951601095,1532951603671,0.900160253047943
28,rattle_mod,5.65685424949,1,1,0.6,1532951603824,1532951610353,1.20073866844177
29,rattle_const,2.0,1,1,0.6,1532951610485,1532951613713,0.8440094590187069
30,rattle_const,2.0,1,1,0.6,1532951613857,1532951616740,1.16090393066406
31,rattle_mod,4.0,1,1,0.6,1532951616880,1532951621740,1.18614196777344
32,rattle_const,4.0,1,1,0.6,1532951621867,1532951627060,0.8927459716796879
33,rattle_mod,4.0,1,1,0.6,1532951627185,1532951632231,1.03817749023438
34,rattle_mod,2.82842712475,1,1,0.6,1532951632371,1532951636086,1.22980952262878
35,rattle_mod,1.4142135623700003,1,1,0.6,1532951636214,1532951638724,0.952645063400269
36,rattle_const,2.82842712475,1,1,0.6,1532951638866,1532951643554,0.24505308270454398
37,rattle_const,8.0,1,1,0.6,1532951643683,1532951652954,0.7977295517921451
38,rattle_mod,8.0,1,1,0.6,1532951653094,1532951662086,1.06381225585938
39,rattle_mod,1.4142135623700003,1,1,0.6,1532951662230,1532951664979,0.718199193477631
40,rattle_const,2.0,1,1,0.6,1532951665112,1532951668901,0.26239013671875
41,rattle_const,2.82842712475,1,1,0.6,1532951669042,1532951673701,0.0
42,rattle_const,5.65685424949,1,1,0.6,1532951673834,1532951680514,1.07637941837311
43,rattle_const,4.0,1,1,0.6,1532951680645,1532951685567,1.18608093261719
44,rattle_mod,5.65685424949,1,1,0.6,1532951685708,1532951692234,1.18169558048248
45,rattle_mod,1.4142135623700003,1,1,0.6,1532951692383,1532951694884,0.995076477527618
46,rattle_mod,1.4142135623700003,1,1,0.6,1532951695012,1532951697833,0.714460670948029
47,rattle_const,5.65685424949,1,1,0.6,1532951697970,1532951704886,0.836968958377838
48,rattle_mod,2.0,1,1,0.6,1532951705017,1532951708394,0.9259033203125
49,rattle_mod,2.0,1,1,0.6,1532951708522,1532951711620,0.99334716796875
50,rattle_mod,2.0,1,1,0.6,1532951711750,1532951715246,0.57476806640625
51,rattle_const,8.0,1,1,0.6,1532951715374,1532951724728,0.7239532470703129
52,rattle_const,4.0,1,1,0.6,1532951724873,1532951730102,0.9188690185546879
53,rattle_mod,5.65685424949,1,1,0.6,1532951730238,1532951736968,1.0026490688324
54,rattle_mod,1.4142135623700003,1,1,0.6,1532951737100,1532951739820,0.739622473716736
55,rattle_const,2.82842712475,1,1,0.6,1532951739947,1532951744449,0.37153321504592896
56,rattle_mod,2.82842712475,1,1,0.6,1532951744587,1532951748916,0.5714996457099909
