,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,rattle_const,1.0,0.0,2.0,1,0.6,1533109819332,1533109824656,0.7906562854122541
1,rattle_mod,4.0,1.2,2.5,1,0.6,1533109824768,1533109829933,1.70801534535378
2,rattle_mod,2.82842712475,1.2,2.5,1,0.6,1533109830059,1533109836534,1.5277998696553998
3,rattle_mod,1.4142135623700003,0.0,2.0,1,0.6,1533109836653,1533109840879,0.697561285962093
4,rattle_mod,1.4142135623700003,1.2,2.5,1,0.6,1533109840992,1533109846959,0.556722448731928
5,rattle_mod,2.0,1.2,4.5,1,0.6,1533109847073,1533109854695,1.1823870559246699
6,rattle_const,2.82842712475,1.2,4.5,1,0.6,1533109854814,1533109862159,0.8959238436927021
7,rattle_mod,2.0,1.2,4.5,1,0.6,1533109862267,1533109869310,0.885853544852094
8,rattle_const,2.0,1.2,2.5,1,0.6,1533109869423,1533109875211,0.889405997841903
9,rattle_const,4.0,1.2,2.5,1,0.6,1533109875326,1533109881065,0.797912048272842
10,rattle_mod,4.0,0.0,2.0,1,0.6,1533109881178,1533109888013,0.989465543831707
11,rattle_mod,1.0,0.0,2.0,1,0.6,1533109888128,1533109894387,0.973568707290451
12,rattle_const,5.65685424949,1.2,2.5,1,0.6,1533109894500,1533109900547,1.46231275433125
13,rattle_const,4.0,1.2,2.5,1,0.6,1533109900666,1533109906379,1.2651118539473
14,rattle_const,1.4142135623700003,1.2,4.5,1,0.6,1533109906505,1533109913226,0.438701915828062
15,rattle_mod,4.0,1.2,4.5,1,0.6,1533109913342,1533109923307,1.17000186903541
16,rattle_const,2.82842712475,0.0,2.0,1,0.6,1533109923422,1533109929345,0.907369219190743
17,rattle_mod,2.0,1.2,2.5,1,0.6,1533109929455,1533109936010,0.6318619021842989
18,rattle_mod,4.0,1.2,2.5,1,0.6,1533109936129,1533109941771,1.50225717062118
19,rattle_mod,4.0,0.0,2.0,1,0.6,1533109941889,1533109946171,1.8358869583507902
20,rattle_const,5.65685424949,0.0,2.0,1,0.6,1533109946283,1533109951306,1.95837072170957
21,rattle_const,4.0,0.0,2.0,1,0.6,1533109951419,1533109955838,1.5119792817681101
22,rattle_const,4.0,0.0,2.0,1,0.6,1533109955954,1533109960611,1.45423435128541
23,rattle_mod,1.0,0.0,2.0,1,0.6,1533109960732,1533109965224,0.6286787449878679
24,rattle_const,1.0,1.2,4.5,1,0.6,1533109965344,1533109972263,0.6460856989906011
25,rattle_const,2.82842712475,0.0,2.0,1,0.6,1533109972373,1533109977933,0.9946621705651891
26,rattle_mod,1.4142135623700003,0.0,2.0,1,0.6,1533109978045,1533109982612,0.906343551318018
27,rattle_mod,2.82842712475,0.0,2.0,1,0.6,1533109982729,1533109986999,2.03268897848044
28,rattle_mod,5.65685424949,0.0,2.0,1,0.6,1533109987115,1533109991824,1.6040460579117501
29,rattle_const,5.65685424949,1.2,4.5,1,0.6,1533109991937,1533109999530,0.972280164850942
30,rattle_mod,1.4142135623700003,1.2,2.5,1,0.6,1533109999648,1533110004864,0.8008770687701451
31,rattle_mod,1.4142135623700003,1.2,2.5,1,0.6,1533110004978,1533110010312,0.5926970033903239
32,rattle_const,1.0,1.2,4.5,1,0.6,1533110010430,1533110017357,0.337259138696351
33,rattle_mod,1.0,1.2,2.5,1,0.6,1533110017477,1533110022337,0.427356647442948
34,rattle_mod,1.0,1.2,2.5,1,0.6,1533110022451,1533110028639,0.42470604509734294
35,rattle_const,2.82842712475,1.2,4.5,1,0.6,1533110028758,1533110035801,0.781326023276509
36,rattle_mod,2.82842712475,0.0,2.0,1,0.6,1533110035919,1533110040442,1.27643165446475
37,rattle_const,1.4142135623700003,0.0,2.0,1,0.6,1533110040569,1533110045372,0.554311290812458
38,rattle_mod,5.65685424949,1.2,2.5,1,0.6,1533110045485,1533110051335,1.0516080577884799
39,rattle_mod,5.65685424949,1.2,4.5,1,0.6,1533110051449,1533110059000,1.22599471077318
40,rattle_mod,2.82842712475,1.2,2.5,1,0.6,1533110059129,1533110065132,1.21053758947945
41,rattle_mod,5.65685424949,1.2,2.5,1,0.6,1533110065251,1533110070894,1.01050761645688
42,rattle_mod,4.0,0.0,2.0,1,0.6,1533110071007,1533110076893,0.945485392241215
43,rattle_const,1.0,1.2,2.5,1,0.6,1533110077006,1533110082264,0.6773064511388579
44,rattle_const,2.82842712475,1.2,4.5,1,0.6,1533110082381,1533110089104,0.509465078677396
45,rattle_mod,2.0,0.0,2.0,1,0.6,1533110089224,1533110093692,1.3588631295548501
46,rattle_const,1.0,0.0,2.0,1,0.6,1533110093804,1533110098104,0.462858401800318
47,rattle_mod,5.65685424949,1.2,2.5,1,0.6,1533110098224,1533110103423,0.931791335809382
48,rattle_mod,1.0,1.2,4.5,1,0.6,1533110103543,1533110110437,0.326445710176455
49,rattle_const,1.4142135623700003,1.2,4.5,1,0.6,1533110110556,1533110117365,0.6100085594974219
50,rattle_const,1.4142135623700003,1.2,4.5,1,0.6,1533110117477,1533110124414,0.456084224352219
51,rattle_const,4.0,1.2,4.5,1,0.6,1533110124528,1533110131306,0.9440618568946869
52,rattle_mod,2.82842712475,0.0,2.0,1,0.6,1533110131414,1533110136841,1.47916404390048
53,rattle_const,2.0,1.2,2.5,1,0.6,1533110136956,1533110142225,0.6675385936997529
