,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,noise,2.82842712475,1.2,2.5,1,0.6,1537260791292,1537260797162,2.2221236742329102
1,noise,2.82842712475,1.2,4.5,1,0.6,1537260797275,1537260804792,8.16076363217805
2,noise,4.0,0.0,2.0,1,0.6,1537260804904,1537260810167,6.5348979812276395
3,noise,2.82842712475,1.2,2.5,1,0.6,1537260810279,1537260817261,2.7207811554381203
4,noise,2.0,1.2,4.5,1,0.6,1537260817376,1537260826591,2.02732091531396
5,noise,4.0,1.2,2.5,1,0.6,1537260826708,1537260833577,2.00580233400399
6,noise,5.65685424949,0.0,2.0,1,0.6,1537260833693,1537260838791,2.7946953041591502
7,noise,2.0,1.2,4.5,1,0.6,1537260838905,1537260848177,2.7251682379641897
8,noise,2.0,0.0,2.0,1,0.6,1537260848289,1537260854617,1.12718985533452
9,noise,4.0,0.0,2.0,1,0.6,1537260854730,1537260861378,1.90300742621377
10,noise,1.4142135623700003,0.0,2.0,1,0.6,1537260861495,1537260867938,0.7866385702051291
11,noise,1.0,1.2,2.5,1,0.6,1537260868055,1537260874326,1.3298598306596898
12,noise,1.4142135623700003,1.2,2.5,1,0.6,1537260874440,1537260880296,1.6629536365979698
13,noise,1.0,0.0,2.0,1,0.6,1537260880414,1537260886734,0.650306751684177
14,noise,2.82842712475,1.2,4.5,1,0.6,1537260886853,1537260895084,2.13617258504172
15,noise,2.0,1.2,4.5,1,0.6,1537260895208,1537260903645,1.7102966096267098
16,noise,4.0,0.0,2.0,1,0.6,1537260967090,1537260973448,4.03110953756895
17,noise,2.0,1.2,4.5,1,0.6,1537260973562,1537260981954,1.8931069065363202
18,noise,1.0,1.2,4.5,1,0.6,1537260982065,1537260991260,1.9091510933135603
19,noise,4.0,1.2,4.5,1,0.6,1537260991376,1537261001006,3.80867791628707
20,noise,4.0,1.2,4.5,1,0.6,1537261001121,1537261011300,5.57865004409065
21,noise,1.0,1.2,4.5,1,0.6,1537261011418,1537261020033,1.3832123284348898
22,noise,5.65685424949,1.2,2.5,1,0.6,1537261020153,1537261027942,2.09370760516102
23,noise,2.82842712475,1.2,4.5,1,0.6,1537261028064,1537261036860,2.8102080750336405
24,noise,1.0,0.0,2.0,1,0.6,1537261036970,1537261044756,1.32226480340604
25,noise,1.4142135623700003,1.2,2.5,1,0.6,1537261044863,1537261053714,2.92021610054442
26,noise,2.82842712475,1.2,4.5,1,0.6,1537261053828,1537261063636,3.47343486977292
27,noise,5.65685424949,1.2,2.5,1,0.6,1537261063753,1537261072316,3.45139807503127
28,noise,2.0,1.2,4.5,1,0.6,1537261072426,1537261082008,2.1877623081474398
29,noise,2.0,1.2,2.5,1,0.6,1537261082123,1537261089367,1.95578745400722
30,noise,2.0,1.2,4.5,1,0.6,1537261089485,1537261099183,3.69423509246304
31,noise,1.0,1.2,2.5,1,0.6,1537261099298,1537261107758,2.10132464419321
32,noise,2.82842712475,0.0,2.0,1,0.6,1537261107870,1537261113209,2.24187017456023
33,noise,5.65685424949,0.0,2.0,1,0.6,1537261113322,1537261121130,5.22560853549431
34,noise,1.0,1.2,4.5,1,0.6,1537261121245,1537261130515,2.16561523357093
35,noise,1.0,1.2,4.5,1,0.6,1537261130625,1537261140340,2.03325805949727
36,noise,1.0,1.2,2.5,1,0.6,1537261140450,1537261147182,1.40080191110953
37,noise,1.0,0.0,2.0,1,0.6,1537261147297,1537261153276,0.9919662703061841
38,noise,1.4142135623700003,1.2,4.5,1,0.6,1537261153390,1537261162782,2.34824200787143
39,noise,4.0,0.0,2.0,1,0.6,1537261162892,1537261169877,4.71676989738792
40,noise,2.82842712475,0.0,2.0,1,0.6,1537261169989,1537261176450,4.852143440271281
41,noise,2.0,1.2,4.5,1,0.6,1537261176564,1537261186051,2.65079338568742
42,noise,5.65685424949,1.2,2.5,1,0.6,1537261186160,1537261193062,5.8109601113648
43,noise,2.82842712475,1.2,4.5,1,0.6,1537261193182,1537261201594,2.05728034117228
44,noise,1.4142135623700003,1.2,4.5,1,0.6,1537261201710,1537261210743,4.09341977569403
45,noise,2.82842712475,1.2,2.5,1,0.6,1537261210859,1537261218852,5.46275293150046
46,noise,5.65685424949,0.0,2.0,1,0.6,1537261218962,1537261225623,6.61487097027243
47,noise,5.65685424949,0.0,2.0,1,0.6,1537261225733,1537261231648,5.436853552638331
48,noise,2.82842712475,1.2,4.5,1,0.6,1537261231757,1537261241182,2.8142578750620895
49,noise,1.0,1.2,4.5,1,0.6,1537261241297,1537261249221,2.21236644049926
50,noise,5.65685424949,1.2,4.5,1,0.6,1537261249342,1537261257411,3.5462968671680404
51,noise,4.0,0.0,2.0,1,0.6,1537261257526,1537261265115,1.68707577842004
52,noise,4.0,0.0,2.0,1,0.6,1537261265228,1537261272958,1.82486193822208
53,noise,2.0,1.2,4.5,1,0.6,1537261273077,1537261283036,2.6157341295099
54,noise,2.0,0.0,2.0,1,0.6,1537261283156,1537261289997,1.3452631992511899
55,noise,5.65685424949,1.2,4.5,1,0.6,1537261290109,1537261299543,2.9617231481223194
56,noise,5.65685424949,1.2,4.5,1,0.6,1537261299664,1537261310715,4.61749234553243
57,noise,2.82842712475,1.2,4.5,1,0.6,1537261310829,1537261319220,2.60968747915097
58,noise,1.4142135623700003,0.0,2.0,1,0.6,1537261319337,1537261326409,0.97126300513334
59,noise,2.0,1.2,4.5,1,0.6,1537261326526,1537261335795,2.77922372375587
60,noise,4.0,0.0,2.0,1,0.6,1537261335900,1537261344530,4.02729635855007
61,noise,5.65685424949,0.0,2.0,1,0.6,1537261344647,1537261352357,8.38819064390865
62,noise,4.0,0.0,2.0,1,0.6,1537261352471,1537261358849,5.09260702266997
63,noise,2.0,1.2,4.5,1,0.6,1537261358963,1537261367622,3.8040106198625696
64,noise,2.0,0.0,2.0,1,0.6,1537261367739,1537261373889,3.3729686567876698
65,noise,5.65685424949,1.2,4.5,1,0.6,1537261374005,1537261383075,3.37165547591025
66,noise,5.65685424949,0.0,2.0,1,0.6,1537261383192,1537261389929,6.18420237390827
67,noise,4.0,1.2,4.5,1,0.6,1537261390045,1537261398128,3.9858058748457004
68,noise,1.0,1.2,2.5,1,0.6,1537261398248,1537261405141,1.8296324143462601
69,noise,2.82842712475,1.2,4.5,1,0.6,1537261405257,1537261415038,2.2426677936761097
70,noise,5.65685424949,0.0,2.0,1,0.6,1537261415156,1537261422342,2.3905552504782004
71,noise,2.82842712475,1.2,4.5,1,0.6,1537261422458,1537261431875,2.56539071612796
72,noise,1.0,0.0,2.0,1,0.6,1537261431990,1537261439249,0.785725856909212
73,noise,5.65685424949,1.2,4.5,1,0.6,1537261439366,1537261448088,8.85400355072371
74,noise,2.82842712475,0.0,2.0,1,0.6,1537261448199,1537261454356,1.00848185233526
75,noise,5.65685424949,1.2,2.5,1,0.6,1537261454473,1537261461452,13.9600606568934
76,noise,5.65685424949,0.0,2.0,1,0.6,1537261461567,1537261469636,4.09494785125517
77,noise,1.4142135623700003,1.2,2.5,1,0.6,1537261469751,1537261476103,2.12455958463081
78,noise,2.82842712475,1.2,2.5,1,0.6,1537261476221,1537261482515,2.06615602055139
79,noise,5.65685424949,1.2,2.5,1,0.6,1537261482628,1537261489742,3.78094424294034
80,noise,5.65685424949,0.0,2.0,1,0.6,1537261489854,1537261495142,5.89107961693556
81,noise,1.4142135623700003,1.2,4.5,1,0.6,1537261495253,1537261502766,2.54169633813838
82,noise,5.65685424949,1.2,4.5,1,0.6,1537261502877,1537261510582,2.33888815924779
83,noise,4.0,1.2,4.5,1,0.6,1537261510700,1537261519154,2.56441318802236
84,noise,4.0,0.0,2.0,1,0.6,1537261519276,1537261524341,3.5610926658085096
85,noise,2.82842712475,0.0,2.0,1,0.6,1537261524458,1537261530633,1.24908833337223
86,noise,1.0,1.2,2.5,1,0.6,1537261530748,1537261537741,1.23507651040776
87,noise,5.65685424949,1.2,2.5,1,0.6,1537261537858,1537261546433,1.81962925874203
88,noise,1.4142135623700003,1.2,2.5,1,0.6,1537261546550,1537261554208,1.5887725905015702
89,noise,1.0,1.2,4.5,1,0.6,1537261554325,1537261562930,1.37097460273818
90,noise,1.4142135623700003,1.2,4.5,1,0.6,1537261563044,1537261571847,1.32135260216895
91,noise,5.65685424949,1.2,4.5,1,0.6,1537261571959,1537261580955,2.59003897806231
92,noise,5.65685424949,1.2,2.5,1,0.6,1537261581067,1537261586792,2.7444409496847
93,noise,4.0,1.2,2.5,1,0.6,1537261586908,1537261592926,3.04425709444807
94,noise,1.0,1.2,2.5,1,0.6,1537261593041,1537261599500,1.47711046312303
95,noise,4.0,1.2,2.5,1,0.6,1537261599617,1537261606005,2.45289555514343
96,noise,2.0,0.0,2.0,1,0.6,1537261606125,1537261611795,1.43764458269007
97,noise,2.82842712475,1.2,2.5,1,0.6,1537261611909,1537261617956,1.53065444351572
98,noise,1.4142135623700003,1.2,2.5,1,0.6,1537261618077,1537261624019,2.16940099942777
99,noise,1.0,1.2,4.5,1,0.6,1537261624134,1537261632926,1.1779785287201299
100,noise,1.4142135623700003,1.2,4.5,1,0.6,1537261633044,1537261641299,1.21661151629718
101,noise,2.82842712475,1.2,2.5,1,0.6,1537261641417,1537261646928,1.6276804700196201
102,noise,1.0,1.2,2.5,1,0.6,1537261647043,1537261653714,1.03096538795542
103,noise,4.0,1.2,4.5,1,0.6,1537261653831,1537261663767,11.118845973234
104,noise,2.82842712475,1.2,2.5,1,0.6,1537261663883,1537261669902,6.1074661194637505
105,noise,2.82842712475,1.2,2.5,1,0.6,1537261670021,1537261677273,7.0433188010516705
106,noise,1.4142135623700003,0.0,2.0,1,0.6,1537261677392,1537261684223,5.81525339026095
107,noise,2.0,1.2,2.5,1,0.6,1537261684341,1537261690218,5.012346685833291
108,noise,4.0,0.0,2.0,1,0.6,1537261690336,1537261695859,5.12195435843761
109,noise,1.4142135623700003,1.2,2.5,1,0.6,1537261695974,1537261702342,2.7841678562510497
110,noise,1.4142135623700003,0.0,2.0,1,0.6,1537261702462,1537261709821,1.3438255850993701
111,noise,4.0,0.0,2.0,1,0.6,1537261709938,1537261717290,5.05740978698535
112,noise,4.0,1.2,4.5,1,0.6,1537261717402,1537261724861,6.256996077268781
113,noise,4.0,1.2,2.5,1,0.6,1537261724990,1537261731633,8.85408297174564
114,noise,1.4142135623700003,1.2,4.5,1,0.6,1537261731751,1537261740728,3.26581211532554
115,noise,5.65685424949,1.2,4.5,1,0.6,1537261740850,1537261750219,3.7066032438525496
116,noise,2.0,1.2,2.5,1,0.6,1537261750338,1537261757714,4.32102418599738
117,noise,2.0,1.2,4.5,1,0.6,1537261757836,1537261765153,3.20792404041381
118,noise,4.0,0.0,2.0,1,0.6,1537261765275,1537261770473,4.36471238971996
119,noise,1.0,0.0,2.0,1,0.6,1537261770589,1537261776635,0.9356716816239169
120,noise,5.65685424949,1.2,2.5,1,0.6,1537261776753,1537261783166,1.6737678932328002
121,noise,5.65685424949,1.2,2.5,1,0.6,1537261783288,1537261789230,2.59449348921364
122,noise,4.0,0.0,2.0,1,0.6,1537261789351,1537261796166,3.38628761902754
123,noise,5.65685424949,0.0,2.0,1,0.6,1537261796284,1537261800952,4.23739429524654
124,noise,2.0,1.2,2.5,1,0.6,1537261801068,1537261807139,1.8851297759359398
125,noise,2.82842712475,1.2,2.5,1,0.6,1537261807263,1537261813635,2.82191614388173
126,noise,2.82842712475,1.2,2.5,1,0.6,1537261813756,1537261819821,2.7569744281878297
127,noise,4.0,1.2,2.5,1,0.6,1537261819939,1537261825327,2.40055616533683
128,noise,1.0,1.2,4.5,1,0.6,1537261825444,1537261833952,2.13868972386047
129,noise,1.4142135623700003,0.0,2.0,1,0.6,1537261834071,1537261839768,1.5022855521318998
130,noise,1.4142135623700003,0.0,2.0,1,0.6,1537261839885,1537261844885,1.11683363675705
131,noise,5.65685424949,1.2,4.5,1,0.6,1537261845011,1537261853632,8.17776368523286
132,noise,1.0,1.2,2.5,1,0.6,1537261853752,1537261861006,3.1967125728522796
133,noise,2.0,0.0,2.0,1,0.6,1537261861126,1537261867417,1.08474610057626
134,noise,2.0,1.2,2.5,1,0.6,1537261867540,1537261873339,3.9602313246327596
135,noise,2.82842712475,1.2,2.5,1,0.6,1537261873456,1537261879114,2.56694603689748
136,noise,1.0,1.2,4.5,1,0.6,1537261879228,1537261887418,2.02781885334525
137,noise,4.0,1.2,4.5,1,0.6,1537261887541,1537261895965,4.191554493191131
138,noise,4.0,1.2,2.5,1,0.6,1537261896083,1537261901803,3.39147074260993
139,noise,1.0,0.0,2.0,1,0.6,1537261901926,1537261908110,1.06274708500753
140,noise,1.0,1.2,2.5,1,0.6,1537261908232,1537261915725,1.60171024056716
141,noise,2.0,0.0,2.0,1,0.6,1537261915848,1537261920963,1.5358721686044199
142,noise,1.4142135623700003,1.2,2.5,1,0.6,1537261921078,1537261927578,2.0937669401337202
143,noise,2.82842712475,1.2,4.5,1,0.6,1537261927697,1537261935577,1.33627185187471
144,noise,4.0,1.2,4.5,1,0.6,1537261935698,1537261943057,2.31360679587032
145,noise,5.65685424949,1.2,2.5,1,0.6,1537261943180,1537261950181,3.13029688589201
146,noise,2.82842712475,0.0,2.0,1,0.6,1537261950302,1537261958486,1.39199420648177
147,noise,5.65685424949,1.2,4.5,1,0.6,1537261958602,1537261966136,3.0249681088566804
148,noise,4.0,0.0,2.0,1,0.6,1537261966253,1537261971312,2.48489750370705
149,noise,5.65685424949,1.2,4.5,1,0.6,1537261971430,1537261979459,2.32235224556827
150,noise,1.0,1.2,2.5,1,0.6,1537261979582,1537261986098,1.6601740641486
151,noise,1.4142135623700003,1.2,4.5,1,0.6,1537261986217,1537261994058,1.5929254045486
152,noise,1.0,1.2,2.5,1,0.6,1537261994180,1537262000885,2.07149287290785
153,noise,4.0,1.2,2.5,1,0.6,1537262001012,1537262006886,2.6800692121134304
154,noise,2.82842712475,0.0,2.0,1,0.6,1537262007011,1537262013658,2.7274347398865197
155,noise,5.65685424949,1.2,2.5,1,0.6,1537262013783,1537262020430,3.5385786145350804
156,noise,1.0,0.0,2.0,1,0.6,1537262020552,1537262026217,1.39472814641293
157,noise,4.0,0.0,2.0,1,0.6,1537262026342,1537262033004,4.03328069142489
158,noise,1.4142135623700003,1.2,4.5,1,0.6,1537262033125,1537262046033,2.75453721228957
159,noise,1.0,1.2,2.5,1,0.6,1537262046156,1537262052165,2.09897725941786
160,noise,1.0,0.0,2.0,1,0.6,1537262052290,1537262056443,1.7485498213696202
161,noise,5.65685424949,1.2,4.5,1,0.6,1537262056564,1537262064737,4.22664919602196
162,noise,4.0,1.2,4.5,1,0.6,1537262064862,1537262072549,1.92601372987818
163,noise,2.82842712475,1.2,4.5,1,0.6,1537262072670,1537262081882,3.8240282333449
