,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,noise,1.0,0.0,2.0,1,0.6,1534762913316,1534762923655,2.50050296852934
1,noise,4.0,0.0,2.0,1,0.6,1534762923772,1534762932790,11.866401497059
2,noise,5.65685424949,0.0,2.0,1,0.6,1534762932904,1534762940362,22.836507675219003
3,noise,2.82842712475,0.0,2.0,1,0.6,1534762940473,1534762949404,8.67447475033738
4,noise,1.0,0.0,2.0,1,0.6,1534762949514,1534762957415,1.8469823878873401
5,noise,4.0,1.2,4.5,1,0.6,1534762957525,1534762968031,5.64335737295109
6,noise,1.0,1.2,4.5,1,0.6,1534762968142,1534762978174,1.62899107513886
7,noise,2.82842712475,0.0,2.0,1,0.6,1534762978289,1534762985362,5.32117802425341
8,noise,2.0,0.0,2.0,1,0.6,1534762985469,1534762992293,6.8645334411901295
9,noise,4.0,1.2,2.5,1,0.6,1534762992407,1534762998989,4.03468221912955
10,noise,2.82842712475,1.2,4.5,1,0.6,1534762999108,1534763008399,3.04162151994147
11,noise,2.82842712475,0.0,2.0,1,0.6,1534763008515,1534763015831,4.47350541384795
12,noise,5.65685424949,1.2,2.5,1,0.6,1534763015944,1534763024974,6.00312620719313
13,noise,5.65685424949,1.2,2.5,1,0.6,1534763025085,1534763032709,9.10093990924176
14,noise,5.65685424949,1.2,4.5,1,0.6,1534763032828,1534763041625,5.206633972038481
15,noise,2.82842712475,1.2,2.5,1,0.6,1534763041737,1534763050390,5.8487149186817895
16,noise,4.0,1.2,2.5,1,0.6,1534763050504,1534763056653,4.2480454742535
17,noise,2.82842712475,1.2,2.5,1,0.6,1534763056766,1534763062883,3.80172717912871
18,noise,2.0,1.2,4.5,1,0.6,1534763062997,1534763072626,2.483347845999
19,noise,4.0,0.0,2.0,1,0.6,1534763072739,1534763078132,3.0855606042416
20,noise,1.4142135623700003,1.2,4.5,1,0.6,1534763078241,1534763087239,2.35767935557668
21,noise,2.0,1.2,4.5,1,0.6,1534763087356,1534763098519,2.85048609409892
22,noise,4.0,0.0,2.0,1,0.6,1534763098634,1534763104427,3.5283502219247596
23,noise,2.82842712475,1.2,2.5,1,0.6,1534763104541,1534763109772,3.17775913475582
24,noise,2.0,0.0,2.0,1,0.6,1534763109892,1534763118560,2.63077734646968
25,noise,5.65685424949,1.2,4.5,1,0.6,1534763118677,1534763127105,5.30357616191043
26,noise,1.0,1.2,2.5,1,0.6,1534763127223,1534763134691,0.5765617217395811
27,noise,5.65685424949,1.2,2.5,1,0.6,1534763134811,1534763143653,5.40518299618722
28,noise,1.0,0.0,2.0,1,0.6,1534763143763,1534763149105,0.7066496405914
29,noise,5.65685424949,1.2,4.5,1,0.6,1534763149223,1534763160908,3.24965039528552
30,noise,1.4142135623700003,1.2,4.5,1,0.6,1534763161027,1534763169105,0.947214044928506
31,noise,2.0,1.2,4.5,1,0.6,1534763169223,1534763177731,1.20336445129167
32,noise,1.0,0.0,2.0,1,0.6,1534763177846,1534763188840,0.6471133875859639
33,noise,4.0,0.0,2.0,1,0.6,1534763188958,1534763194255,2.00560018358571
34,noise,4.0,1.2,2.5,1,0.6,1534763194373,1534763200772,1.86598866683994
35,noise,1.0,1.2,2.5,1,0.6,1534763200887,1534763206797,0.806711807317624
36,noise,1.0,0.0,2.0,1,0.6,1534763206917,1534763212414,0.520009682461461
37,noise,1.0,1.2,2.5,1,0.6,1534763212526,1534763218029,0.7218515806295909
38,noise,1.4142135623700003,1.2,4.5,1,0.6,1534763218140,1534763226213,1.3774448155229801
39,noise,1.0,1.2,2.5,1,0.6,1534763226325,1534763232054,0.699471159753028
40,noise,4.0,1.2,4.5,1,0.6,1534763232171,1534763239959,2.06539632546613
41,noise,1.0,0.0,2.0,1,0.6,1534763240082,1534763245157,0.619324373058004
42,noise,5.65685424949,0.0,2.0,1,0.6,1534763245273,1534763251960,2.31368791370366
43,noise,1.4142135623700003,1.2,2.5,1,0.6,1534763252077,1534763258359,1.06740676463451
44,noise,1.0,1.2,4.5,1,0.6,1534763258467,1534763266652,0.871134944711468
45,noise,1.0,0.0,2.0,1,0.6,1534763266769,1534763271997,0.66298714423166
46,noise,2.82842712475,1.2,4.5,1,0.6,1534763272112,1534763281266,1.97941883880436
47,noise,4.0,0.0,2.0,1,0.6,1534763281382,1534763287668,3.58987908098417
48,noise,2.0,0.0,2.0,1,0.6,1534763287786,1534763293280,2.7994188439577203
49,noise,1.4142135623700003,1.2,2.5,1,0.6,1534763293394,1534763299384,2.1971741595636396
50,noise,5.65685424949,1.2,4.5,1,0.6,1534763299504,1534763312012,1.61262312175855
51,noise,2.0,0.0,2.0,1,0.6,1534763312124,1534763317148,1.85781173352484
52,noise,2.0,0.0,2.0,1,0.6,1534763317267,1534763321786,1.7197103975766599
53,noise,4.0,0.0,2.0,1,0.6,1534763321904,1534763327027,6.16894446590317
54,noise,1.0,1.2,4.5,1,0.6,1534763327148,1534763337000,0.471849458396556
55,noise,4.0,1.2,4.5,1,0.6,1534763337123,1534763344388,2.60059889873361
56,noise,2.82842712475,0.0,2.0,1,0.6,1534763344508,1534763349306,3.22508916036703
57,noise,1.0,1.2,4.5,1,0.6,1534763349422,1534763356747,0.77889690124791
58,noise,2.82842712475,0.0,2.0,1,0.6,1534763356863,1534763361132,2.7627207314665596
59,noise,5.65685424949,1.2,2.5,1,0.6,1534763361247,1534763367921,4.83955845487094
60,noise,5.65685424949,0.0,2.0,1,0.6,1534763368039,1534763373159,7.233810543799
61,noise,2.0,1.2,4.5,1,0.6,1534763373276,1534763380799,1.34486775284538
62,noise,2.82842712475,1.2,4.5,1,0.6,1534763380913,1534763389372,1.4550947795918798
63,noise,1.0,1.2,2.5,1,0.6,1534763389493,1534763394972,0.732580320136068
64,noise,2.82842712475,0.0,2.0,1,0.6,1534763395086,1534763400426,3.06851716139178
65,noise,1.4142135623700003,0.0,2.0,1,0.6,1534763400546,1534763405224,1.2156105778178998
66,noise,1.0,1.2,4.5,1,0.6,1534763405342,1534763412970,0.8118051938450749
67,noise,1.4142135623700003,0.0,2.0,1,0.6,1534763413083,1534763419130,1.4698579291669198
68,noise,4.0,1.2,2.5,1,0.6,1534763419250,1534763425305,2.7207206113558198
69,noise,2.82842712475,1.2,4.5,1,0.6,1534763425420,1534763432812,1.2295885378248401
70,noise,2.0,1.2,4.5,1,0.6,1534763432930,1534763440236,1.5416336068470902
71,noise,1.0,1.2,4.5,1,0.6,1534763440356,1534763447879,0.8516943670093291
72,noise,2.0,1.2,2.5,1,0.6,1534763447997,1534763454145,1.7562801543428301
73,noise,4.0,0.0,2.0,1,0.6,1534763454266,1534763459145,2.3349708522341697
74,noise,2.0,1.2,2.5,1,0.6,1534763459262,1534763464503,1.17949361238116
75,noise,1.4142135623700003,1.2,2.5,1,0.6,1534763464622,1534763472226,3.1590265742476498
