,condition,start_distance,approach_speed,acceleration_time,height,trial_started,trial_ended,response
0,rattle_mod,2.0,1,1,0.6,1538390127215,1538390130252,1.2608642578125
1,rattle_mod,2.82842712475,1,1,0.6,1538390130386,1538390133875,1.49078845977783
2,rattle_const,8.0,1,1,0.6,1538390133993,1538390140613,3.3996734619140603
3,rattle_mod,4.0,1,1,0.6,1538390140747,1538390145626,1.19821929931641
4,rattle_const,2.82842712475,1,1,0.6,1538390145762,1538390149582,1.07176661491394
5,rattle_mod,2.0,1,1,0.6,1538390149704,1538390152291,1.4252395629882801
6,rattle_const,8.0,1,1,0.6,1538390152434,1538390159837,2.66629028320313
7,rattle_const,2.0,1,1,0.6,1538390159991,1538390162489,1.5794717073440598
8,rattle_mod,1.4142135623700003,1,1,0.6,1538390162630,1538390164676,1.28215479850769
9,rattle_mod,5.65685424949,1,1,0.6,1538390164804,1538390168744,3.7221925258636497
10,rattle_const,5.65685424949,1,1,0.6,1538390168876,1538390173506,3.1620419025421103
11,rattle_mod,5.65685424949,1,1,0.6,1538390173624,1538390177545,3.7594544887542702
12,rattle_mod,5.65685424949,1,1,0.6,1538390177666,1538390181720,3.65858602523804
13,rattle_mod,4.0,1,1,0.6,1538390181845,1538390184306,3.65943837165833
14,rattle_const,2.82842712475,1,1,0.6,1538390184449,1538390187198,2.129643201828
15,rattle_mod,8.0,1,1,0.6,1538390187337,1538390191480,5.90421295166016
16,rattle_mod,8.0,1,1,0.6,1538390191622,1538390197253,4.445350646972661
17,rattle_const,1.4142135623700003,1,1,0.6,1538390197384,1538390199409,1.2896710634231598
18,rattle_const,4.0,1,1,0.6,1538390199542,1538390202638,2.9829483032226602
19,rattle_mod,5.65685424949,1,1,0.6,1538390202764,1538390206785,3.68123006820679
20,rattle_const,2.82842712475,1,1,0.6,1538390206910,1538390209251,2.52068328857422
21,rattle_mod,5.65685424949,1,1,0.6,1538390209383,1538390213438,3.6518032550811803
22,rattle_const,1.4142135623700003,1,1,0.6,1538390213567,1538390215798,1.1562197208404499
23,rattle_const,1.4142135623700003,1,1,0.6,1538390215931,1538390218024,1.26868069171906
24,rattle_mod,8.0,1,1,0.6,1538390218169,1538390224907,3.48202538490295
25,rattle_mod,1.4142135623700003,1,1,0.6,1538390225039,1538390227010,1.32750117778778
26,rattle_const,2.82842712475,1,1,0.6,1538390227133,1538390230758,1.31241321563721
27,rattle_const,2.0,1,1,0.6,1538390230890,1538390232892,1.89319789409637
28,rattle_mod,4.0,1,1,0.6,1538390233017,1538390237132,1.94545769691467
29,rattle_mod,4.0,1,1,0.6,1538390237258,1538390239545,3.7523033618927
30,rattle_const,4.0,1,1,0.6,1538390239672,1538390243303,2.4059677124023398
31,rattle_mod,5.65685424949,1,1,0.6,1538390243423,1538390246868,8.187786927049909e-42
32,rattle_mod,2.0,1,1,0.6,1538390247012,1538390249680,1.3620834350585902
33,rattle_mod,5.65685424949,1,1,0.6,1538390249820,1538390256064,1.46245729923248
34,rattle_const,8.0,1,1,0.6,1538390256193,1538390262562,3.7602996826171897
35,rattle_mod,1.4142135623700003,1,1,0.6,1538390262691,1538390264598,1.36220252513886
36,rattle_const,4.0,1,1,0.6,1538390264737,1538390268735,2.06239342689514
37,rattle_const,1.4142135623700003,1,1,0.6,1538390268869,1538390271399,0.954329550266266
38,rattle_const,4.0,1,1,0.6,1538390271529,1538390275679,2.0266571044921897
39,rattle_const,2.0,1,1,0.6,1538390275824,1538390277984,1.7984106540679898
40,rattle_mod,1.4142135623700003,1,1,0.6,1538390278124,1538390280051,1.3573139905929599
41,rattle_mod,2.82842712475,1,1,0.6,1538390280175,1538390283717,1.3285036087036102
42,rattle_mod,5.65685424949,1,1,0.6,1538390283846,1538390290079,1.53621828556061
43,rattle_const,8.0,1,1,0.6,1538390290205,1538390297333,2.91984581947327
44,rattle_const,4.0,1,1,0.6,1538390297466,1538390300506,3.08639526367188
45,rattle_mod,4.0,1,1,0.6,1538390300631,1538390304920,1.74348485469818
46,rattle_const,2.82842712475,1,1,0.6,1538390305047,1538390309159,0.7721833586692809
47,rattle_const,2.82842712475,1,1,0.6,1538390309291,1538390312932,1.23219001293182
48,rattle_mod,1.4142135623700003,1,1,0.6,1538390313059,1538390315039,1.32384788990021
