,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,noise,5.65685424949,1.2,2.5,1,0.6,1536738685152,1536738692329,1.90357874999592
1,noise,2.0,1.2,2.5,1,0.6,1536738692445,1536738700476,0.970947403360479
2,noise,1.4142135623700003,0.0,2.0,1,0.6,1536738700592,1536738708355,0.605062505342688
3,noise,2.82842712475,1.2,2.5,1,0.6,1536738708475,1536738716635,2.5157662333049
4,noise,2.0,1.2,4.5,1,0.6,1536738716750,1536738724850,1.63035479011855
5,noise,1.4142135623700003,1.2,4.5,1,0.6,1536738724961,1536738733180,0.94706865515825
6,noise,5.65685424949,1.2,4.5,1,0.6,1536738733302,1536738742624,2.11135976319622
7,noise,1.4142135623700003,0.0,2.0,1,0.6,1536738742736,1536738750210,0.5321457848509579
8,noise,1.0,1.2,4.5,1,0.6,1536738750326,1536738759090,1.23848569435406
9,noise,2.0,1.2,4.5,1,0.6,1536738759207,1536738767317,0.9152220070862421
10,noise,4.0,0.0,2.0,1,0.6,1536738767433,1536738772542,0.993919188880937
11,noise,2.82842712475,1.2,2.5,1,0.6,1536738772656,1536738780040,2.23744511718084
12,noise,4.0,1.2,2.5,1,0.6,1536738780153,1536738786422,2.54697986254665
13,noise,1.4142135623700003,0.0,2.0,1,0.6,1536738786540,1536738791624,0.5156023253706671
14,noise,4.0,1.2,4.5,1,0.6,1536738791738,1536738799397,2.69089181500165
15,noise,2.0,0.0,2.0,1,0.6,1536738799515,1536738804674,1.15051348978611
16,noise,2.0,1.2,4.5,1,0.6,1536738804788,1536738813130,1.6748105683101202
17,noise,1.0,1.2,4.5,1,0.6,1536738813246,1536738820946,0.5709971207105029
18,noise,1.0,0.0,2.0,1,0.6,1536738821065,1536738826090,0.44675498119384294
19,noise,2.82842712475,1.2,2.5,1,0.6,1536738826203,1536738832321,4.3538360828103295
20,noise,4.0,1.2,2.5,1,0.6,1536738832435,1536738839774,3.97327730691767
21,noise,1.0,1.2,2.5,1,0.6,1536738839892,1536738846224,1.17077496459796
22,noise,1.0,1.2,2.5,1,0.6,1536738846338,1536738852850,0.6179420540912011
23,noise,5.65685424949,0.0,2.0,1,0.6,1536738852967,1536738858213,4.0965178935455695
24,noise,2.82842712475,1.2,4.5,1,0.6,1536738858329,1536738866077,1.5967197398078101
25,noise,4.0,1.2,4.5,1,0.6,1536738866195,1536738873414,2.7305789366134103
26,noise,4.0,1.2,2.5,1,0.6,1536738873529,1536738879372,2.20857630674395
27,noise,4.0,0.0,2.0,1,0.6,1536738879490,1536738884317,1.8276573250401202
28,noise,2.0,0.0,2.0,1,0.6,1536738884431,1536738889544,1.0558619267465699
29,noise,1.4142135623700003,1.2,4.5,1,0.6,1536738889664,1536738897008,0.9026804074503492
30,noise,1.4142135623700003,0.0,2.0,1,0.6,1536738897128,1536738901705,0.542832814553896
31,noise,1.0,1.2,4.5,1,0.6,1536738901819,1536738909159,0.474933929099168
32,noise,2.0,0.0,2.0,1,0.6,1536738909274,1536738913945,1.62969205722618
33,noise,1.4142135623700003,0.0,2.0,1,0.6,1536738914063,1536738918688,0.7874717865709201
34,noise,1.4142135623700003,1.2,2.5,1,0.6,1536738918805,1536738923784,1.6497166313097
35,noise,2.82842712475,0.0,2.0,1,0.6,1536738923899,1536738930558,2.2128076947713398
36,noise,4.0,1.2,2.5,1,0.6,1536738930673,1536738936917,3.27748018798511
37,noise,5.65685424949,0.0,2.0,1,0.6,1536738937036,1536738944478,4.12413301690364
38,noise,1.4142135623700003,1.2,4.5,1,0.6,1536738944596,1536738952917,0.762874950439447
39,noise,5.65685424949,1.2,2.5,1,0.6,1536738953035,1536738960346,5.78842100137371
40,noise,1.0,1.2,4.5,1,0.6,1536738960463,1536738969158,0.545952674271198
41,noise,2.0,1.2,4.5,1,0.6,1536738969271,1536738982692,0.9301538951144641
42,noise,1.4142135623700003,1.2,2.5,1,0.6,1536738982808,1536738990732,1.24155853161082
43,noise,4.0,1.2,4.5,1,0.6,1536738990852,1536738998544,1.47192741506854
44,noise,2.0,0.0,2.0,1,0.6,1536738998660,1536739005493,0.960888406539972
45,noise,1.4142135623700003,1.2,4.5,1,0.6,1536739005608,1536739013103,0.6616308488642789
46,noise,2.0,1.2,4.5,1,0.6,1536739013219,1536739020517,0.928097976187706
47,noise,2.82842712475,1.2,4.5,1,0.6,1536739020637,1536739027824,1.54839287993916
48,noise,1.4142135623700003,1.2,2.5,1,0.6,1536739027935,1536739033156,1.4610760885686103
49,noise,4.0,1.2,4.5,1,0.6,1536739033274,1536739042547,3.24754218583372
50,noise,1.0,1.2,2.5,1,0.6,1536739042665,1536739048463,0.582223791369573
51,noise,5.65685424949,0.0,2.0,1,0.6,1536739048583,1536739055973,4.08639519486534
52,noise,4.0,1.2,4.5,1,0.6,1536739056092,1536739063638,1.5361361091610402
53,noise,5.65685424949,1.2,2.5,1,0.6,1536739063755,1536739071921,6.252993918352151
54,noise,4.0,1.2,2.5,1,0.6,1536739072041,1536739078932,4.07273067738043
55,noise,2.82842712475,1.2,4.5,1,0.6,1536739079048,1536739088918,1.47766384215837
56,noise,5.65685424949,1.2,2.5,1,0.6,1536739089038,1536739096441,3.9940805523970897
57,noise,1.4142135623700003,1.2,2.5,1,0.6,1536739096558,1536739103956,0.9375313469804141
58,noise,4.0,0.0,2.0,1,0.6,1536739104076,1536739109653,3.4006726047506897
59,noise,2.82842712475,1.2,2.5,1,0.6,1536739109775,1536739116051,1.4811596968132401
60,noise,2.0,0.0,2.0,1,0.6,1536739116169,1536739122625,1.40752229034749
61,noise,1.0,0.0,2.0,1,0.6,1536739122743,1536739129240,0.5427718387496671
62,noise,5.65685424949,1.2,2.5,1,0.6,1536739129359,1536739137052,4.622116515192451
63,noise,1.0,1.2,2.5,1,0.6,1536739137173,1536739144573,0.9173546166822751
64,noise,4.0,1.2,4.5,1,0.6,1536739144691,1536739154626,2.5493248039213596
65,noise,2.0,1.2,2.5,1,0.6,1536739154744,1536739160475,1.24318321513209
66,noise,2.0,1.2,4.5,1,0.6,1536739160589,1536739170239,1.3673820544592699
67,noise,5.65685424949,1.2,4.5,1,0.6,1536739170357,1536739178677,2.6281158003808396
68,noise,2.82842712475,1.2,4.5,1,0.6,1536739178794,1536739186784,1.52618139008454
69,noise,2.82842712475,1.2,2.5,1,0.6,1536739186906,1536739195292,3.0243142226829796
70,noise,2.0,1.2,2.5,1,0.6,1536739195416,1536739202413,1.5765905411371597
71,noise,1.0,0.0,2.0,1,0.6,1536739202528,1536739207183,0.44954192034713203
72,noise,1.4142135623700003,1.2,2.5,1,0.6,1536739207299,1536739216360,1.12232296172562
73,noise,1.4142135623700003,1.2,4.5,1,0.6,1536739216480,1536739224370,0.9430196211012621
74,noise,2.0,0.0,2.0,1,0.6,1536739224488,1536739230358,1.42864261316654
75,noise,2.0,0.0,2.0,1,0.6,1536739230472,1536739236678,1.6078331021268402
76,noise,5.65685424949,0.0,2.0,1,0.6,1536739236797,1536739243120,4.8453949213049405
77,noise,4.0,1.2,2.5,1,0.6,1536739243237,1536739248412,3.5183479508702002
78,noise,5.65685424949,0.0,2.0,1,0.6,1536739248529,1536739257160,5.759663601382281
79,noise,2.82842712475,1.2,2.5,1,0.6,1536739257280,1536739264971,2.66051475590133
80,noise,2.82842712475,1.2,2.5,1,0.6,1536739265089,1536739271892,2.29586348251392
81,noise,4.0,0.0,2.0,1,0.6,1536739272013,1536739278653,3.47668005333977
82,noise,2.0,1.2,2.5,1,0.6,1536739278771,1536739286879,1.2039263666975
83,noise,4.0,0.0,2.0,1,0.6,1536739287002,1536739293558,4.91178137124782
84,noise,5.65685424949,1.2,4.5,1,0.6,1536739293680,1536739302130,3.9072567666980897
85,noise,5.65685424949,1.2,4.5,1,0.6,1536739302251,1536739314693,5.34508141049664
86,noise,1.0,1.2,4.5,1,0.6,1536739314811,1536739322732,0.6051670776125581
87,noise,1.0,0.0,2.0,1,0.6,1536739322849,1536739327399,0.31144802298508695
