,condition,start_distance,approach_speed,acceleration_time,height,trial_started,trial_ended,response
0,rattle_const,4.0,1,1,0.6,1537173723432,1537173727320,2.2751007080078103
1,rattle_mod,2.82842712475,1,1,0.6,1537173727442,1537173730708,1.62831568717957
2,rattle_const,8.0,1,1,0.6,1537173730849,1537173737402,3.50137710571289
3,rattle_const,2.0,1,1,0.6,1537173737526,1537173740230,1.4336128234863301
4,rattle_mod,1.4142135623700003,1,1,0.6,1537173740358,1537173742641,1.33184742927551
5,rattle_mod,5.65685424949,1,1,0.6,1537173742783,1537173746813,3.70210814476013
6,rattle_const,5.65685424949,1,1,0.6,1537173746950,1537173751644,3.10066366195679
7,rattle_mod,2.0,1,1,0.6,1537173751775,1537173754365,1.46537780761719
8,rattle_mod,4.0,1,1,0.6,1537173754495,1537173758975,1.56077218055725
9,rattle_mod,2.82842712475,1,1,0.6,1537173759107,1537173762294,1.65329432487488
10,rattle_mod,5.65685424949,1,1,0.6,1537173762436,1537173766470,3.67948317527771
11,rattle_const,8.0,1,1,0.6,1537173766596,1537173772391,4.24427795410156
12,rattle_const,5.65685424949,1,1,0.6,1537173772537,1537173777245,2.98325514793396
13,rattle_const,2.82842712475,1,1,0.6,1537173777374,1537173780909,1.3280303478241
14,rattle_const,4.0,1,1,0.6,1537173781039,1537173785175,1.89713299274445
15,rattle_mod,2.82842712475,1,1,0.6,1537173785305,1537173788572,1.59125971794128
16,rattle_const,2.0,1,1,0.6,1537173788717,1537173791522,1.28322601318359
17,rattle_const,4.0,1,1,0.6,1537173791647,1537173795959,1.73955547809601
18,rattle_const,2.0,1,1,0.6,1537173796094,1537173798922,1.2344665527343799
19,rattle_const,4.0,1,1,0.6,1537173799067,1537173803284,1.84199523925781
20,rattle_mod,2.0,1,1,0.6,1537173803416,1537173806216,1.26010894775391
21,rattle_const,2.82842712475,1,1,0.6,1537173806360,1537173810031,1.2335784435272201
22,rattle_const,2.82842712475,1,1,0.6,1537173810173,1537173813562,1.49532008171082
23,rattle_const,4.0,1,1,0.6,1537173813690,1537173817924,1.79778301715851
24,rattle_mod,2.82842712475,1,1,0.6,1537173818066,1537173821510,1.41398334503174
25,rattle_const,5.65685424949,1,1,0.6,1537173821656,1537173827027,2.3008360862731903
26,rattle_const,2.0,1,1,0.6,1537173827161,1537173830042,1.23390984535217
27,rattle_const,2.0,1,1,0.6,1537173830173,1537173833123,1.105224609375
28,rattle_mod,8.0,1,1,0.6,1537173833249,1537173839581,3.76223826408386
29,rattle_mod,1.4142135623700003,1,1,0.6,1537173839709,1537173842336,0.847685277462006
30,rattle_mod,2.82842712475,1,1,0.6,1537173842479,1537173846123,1.23206782341003
31,rattle_const,2.82842712475,1,1,0.6,1537173846255,1537173850212,0.9109619855880741
32,rattle_const,4.0,1,1,0.6,1537173850342,1537173855484,0.9452056884765629
33,rattle_mod,8.0,1,1,0.6,1537173855626,1537173864365,1.28228759765625
34,rattle_const,8.0,1,1,0.6,1537173864496,1537173873111,1.41404724121094
35,rattle_const,8.0,1,1,0.6,1537173873247,1537173880793,2.47418236732483
36,rattle_mod,2.82842712475,1,1,0.6,1537173880927,1537173884738,1.0703705549240101
37,rattle_mod,8.0,1,1,0.6,1537173884866,1537173891244,3.63877892494202
38,rattle_mod,8.0,1,1,0.6,1537173891390,1537173900018,1.44541931152344
39,rattle_mod,2.82842712475,1,1,0.6,1537173900151,1537173903937,1.1253631114959701
