,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,noise,4.0,1.2,2.5,1,0.6,1536651505260,1536651511992,3.9018683225974704
1,noise,4.0,1.2,2.5,1,0.6,1536651512103,1536651518186,6.45431924229601
2,noise,2.82842712475,1.2,2.5,1,0.6,1536651518288,1536651524328,3.1703243677239104
3,noise,4.0,1.2,2.5,1,0.6,1536651524440,1536651530419,3.45503159446389
4,noise,2.82842712475,1.2,4.5,1,0.6,1536651530545,1536651539029,4.03433712114365
5,noise,1.4142135623700003,0.0,2.0,1,0.6,1536651539145,1536651544525,1.13741839947403
6,noise,2.0,1.2,2.5,1,0.6,1536651544645,1536651550549,2.08432170085517
7,noise,1.4142135623700003,1.2,4.5,1,0.6,1536651550663,1536651559500,2.3780530736153502
8,noise,2.0,1.2,2.5,1,0.6,1536651559626,1536651565228,2.00380461825488
9,noise,1.0,1.2,2.5,1,0.6,1536651565347,1536651571888,1.7081333253679198
10,noise,1.0,1.2,2.5,1,0.6,1536651572000,1536651578833,1.70356782589106
11,noise,1.4142135623700003,1.2,2.5,1,0.6,1536651578950,1536651584448,2.2757650928707998
12,noise,4.0,1.2,4.5,1,0.6,1536651584567,1536651591945,4.78887246365415
13,noise,1.0,0.0,2.0,1,0.6,1536651592062,1536651596437,0.6065268539478621
14,noise,2.82842712475,1.2,4.5,1,0.6,1536651596552,1536651606051,5.04667622214094
15,noise,4.0,0.0,2.0,1,0.6,1536651606166,1536651612649,2.66440322629994
16,noise,2.82842712475,1.2,2.5,1,0.6,1536651612764,1536651621556,4.26107297679371
17,noise,4.0,0.0,2.0,1,0.6,1536651621671,1536651628060,3.7734047796652597
18,noise,2.82842712475,0.0,2.0,1,0.6,1536651628181,1536651633542,3.2445333581967097
19,noise,1.4142135623700003,1.2,2.5,1,0.6,1536651633657,1536651639567,1.76882695618347
20,noise,4.0,1.2,4.5,1,0.6,1536651639682,1536651647675,5.24298040107696
21,noise,2.0,0.0,2.0,1,0.6,1536651647796,1536651653807,1.53493348632159
22,noise,2.0,0.0,2.0,1,0.6,1536651653917,1536651658715,1.20368840432593
23,noise,1.0,1.2,2.5,1,0.6,1536651658833,1536651664765,1.22021671511454
24,noise,5.65685424949,1.2,2.5,1,0.6,1536651664877,1536651673231,5.0831421243037695
25,noise,2.82842712475,1.2,2.5,1,0.6,1536651673355,1536651680580,5.0476283589985
26,noise,2.82842712475,1.2,2.5,1,0.6,1536651680702,1536651686855,3.5632329490689303
27,noise,1.0,1.2,4.5,1,0.6,1536651686988,1536651695913,1.53336969362488
