,condition,start_distance,approach_speed,acceleration_time,height,trial_started,trial_ended,response
0,rattle_mod,2.0,1,1,0.6,1536827131763,1536827135358,0.575206756591797
1,rattle_const,1.4142135623700003,1,1,0.6,1536827135469,1536827138736,0.0
2,rattle_const,2.82842712475,1,1,0.6,1536827138874,1536827142416,1.3329172134399399
3,rattle_mod,2.82842712475,1,1,0.6,1536827142557,1536827146122,1.3120659589767498
4,rattle_mod,2.82842712475,1,1,0.6,1536827146249,1536827149882,1.24386298656464
5,rattle_const,2.0,1,1,0.6,1536827150018,1536827153485,0.603019714355469
6,rattle_mod,5.65685424949,1,1,0.6,1536827153611,1536827157681,3.66236257553101
7,rattle_mod,2.82842712475,1,1,0.6,1536827157809,1536827161202,1.49152064323425
8,rattle_mod,1.4142135623700003,1,1,0.6,1536827161332,1536827164228,0.557104527950287
9,rattle_const,2.0,1,1,0.6,1536827164353,1536827167937,0.462627440690994
10,rattle_const,2.0,1,1,0.6,1536827168072,1536827171497,0.644473969936371
11,rattle_mod,8.0,1,1,0.6,1536827171618,1536827178048,3.64189529418945
12,rattle_mod,5.65685424949,1,1,0.6,1536827178187,1536827182273,3.64286923408508
13,rattle_mod,2.82842712475,1,1,0.6,1536827182400,1536827185965,1.344731092453
14,rattle_mod,8.0,1,1,0.6,1536827186093,1536827192417,3.72406792640686
15,rattle_mod,8.0,1,1,0.6,1536827192560,1536827198673,3.943284034729
16,rattle_const,2.82842712475,1,1,0.6,1536827198801,1536827202604,1.06959247589111
17,rattle_mod,4.0,1,1,0.6,1536827202743,1536827207391,1.4255142211914098
18,rattle_mod,5.65685424949,1,1,0.6,1536827207523,1536827211646,3.59347677230835
19,rattle_const,8.0,1,1,0.6,1536827211785,1536827220058,1.7844771146774299
20,rattle_const,5.65685424949,1,1,0.6,1536827220187,1536827226791,1.15966951847076
21,rattle_mod,4.0,1,1,0.6,1536827226919,1536827231632,1.3170852661132801
22,rattle_const,5.65685424949,1,1,0.6,1536827231774,1536827238231,1.2408081293106101
23,rattle_const,4.0,1,1,0.6,1536827238369,1536827243312,1.14129638671875
24,rattle_const,2.82842712475,1,1,0.6,1536827243438,1536827247472,0.849972546100616
25,rattle_const,5.65685424949,1,1,0.6,1536827247598,1536827253793,1.4977813959121697
26,rattle_const,1.4142135623700003,1,1,0.6,1536827253923,1536827257258,0.0
27,rattle_mod,8.0,1,1,0.6,1536827257383,1536827263791,3.6333773136138903
28,rattle_mod,4.0,1,1,0.6,1536827263923,1536827268659,1.35804748535156
29,rattle_mod,2.82842712475,1,1,0.6,1536827268782,1536827272379,1.2921112775802601
30,rattle_const,2.0,1,1,0.6,1536827272506,1536827275699,0.8653717637062069
31,rattle_const,2.82842712475,1,1,0.6,1536827275832,1536827279832,0.905361950397491
32,rattle_const,8.0,1,1,0.6,1536827279963,1536827288499,1.5426940917968797
33,rattle_const,8.0,1,1,0.6,1536827288626,1536827296355,2.33590698242188
34,rattle_const,8.0,1,1,0.6,1536827296495,1536827304859,1.66575634479523
35,rattle_mod,2.82842712475,1,1,0.6,1536827305003,1536827308751,1.1511046886444098
36,rattle_const,5.65685424949,1,1,0.6,1536827308893,1536827314858,1.7392975091934197
37,rattle_const,2.82842712475,1,1,0.6,1536827314992,1536827318657,1.19503474235535
38,rattle_mod,5.65685424949,1,1,0.6,1536827318783,1536827322886,3.67377614974976
39,rattle_const,5.65685424949,1,1,0.6,1536827323024,1536827329406,1.3216644525528
40,rattle_const,8.0,1,1,0.6,1536827329551,1536827337605,2.022705078125
41,rattle_mod,1.4142135623700003,1,1,0.6,1536827337730,1536827340617,0.590360999107361
42,rattle_mod,8.0,1,1,0.6,1536827340746,1536827347074,4.020172119140629
43,rattle_const,2.82842712475,1,1,0.6,1536827347204,1536827350031,2.05305194854736
44,rattle_const,1.4142135623700003,1,1,0.6,1536827350158,1536827352390,1.1965824365615803
45,rattle_mod,4.0,1,1,0.6,1536827352517,1536827354804,3.72618460655212
46,rattle_const,2.0,1,1,0.6,1536827354949,1536827357844,1.14524841308594
47,rattle_mod,2.0,1,1,0.6,1536827357992,1536827360926,1.14404296875
48,rattle_mod,8.0,1,1,0.6,1536827361056,1536827367460,3.69638061523438
49,rattle_mod,8.0,1,1,0.6,1536827367595,1536827373983,3.66238403320313
50,rattle_mod,2.0,1,1,0.6,1536827374126,1536827377141,1.06449902057648
51,rattle_const,2.0,1,1,0.6,1536827377284,1536827380269,1.08142101764679
52,rattle_mod,2.0,1,1,0.6,1536827380413,1536827383860,0.642410278320313
53,rattle_const,8.0,1,1,0.6,1536827383999,1536827393003,1.04301464557648
54,rattle_const,8.0,1,1,0.6,1536827393129,1536827401487,1.76679980754852
55,rattle_mod,8.0,1,1,0.6,1536827401616,1536827407944,3.7357177734375
56,rattle_mod,2.0,1,1,0.6,1536827408090,1536827411073,1.06657421588898
57,rattle_mod,4.0,1,1,0.6,1536827411206,1536827415978,1.2610168457031299
58,rattle_mod,4.0,1,1,0.6,1536827416109,1536827420939,1.25859069824219
59,rattle_mod,2.82842712475,1,1,0.6,1536827421069,1536827424780,1.16968989372253
60,rattle_mod,1.4142135623700003,1,1,0.6,1536827424925,1536827427500,0.875028967857361
61,rattle_const,2.82842712475,1,1,0.6,1536827427641,1536827432102,0.409268200397491
62,rattle_mod,4.0,1,1,0.6,1536827432243,1536827437247,1.0221865177154499
63,rattle_const,1.4142135623700003,1,1,0.6,1536827437392,1536827441021,0.0
64,rattle_mod,5.65685424949,1,1,0.6,1536827441162,1536827448114,0.7597595453262329
65,rattle_const,8.0,1,1,0.6,1536827448247,1536827457261,1.04217529296875
66,rattle_const,1.4142135623700003,1,1,0.6,1536827457396,1536827460005,0.877714693546295
67,rattle_mod,4.0,1,1,0.6,1536827460130,1536827465474,0.7343140244483951
68,rattle_const,5.65685424949,1,1,0.6,1536827465614,1536827472553,0.759546041488647
69,rattle_const,1.4142135623700003,1,1,0.6,1536827472702,1536827475498,0.6756270527839661
70,rattle_mod,2.82842712475,1,1,0.6,1536827475627,1536827479820,0.751522839069366
71,rattle_mod,2.0,1,1,0.6,1536827479948,1536827483284,0.7415465712547299
72,rattle_mod,1.4142135623700003,1,1,0.6,1536827483420,1536827486326,0.639067053794861
73,rattle_const,5.65685424949,1,1,0.6,1536827486458,1536827493300,0.8525635004043579
74,rattle_const,2.0,1,1,0.6,1536827493443,1536827496887,0.62335205078125
75,rattle_mod,4.0,1,1,0.6,1536827497019,1536827502272,0.7832031846046451
76,rattle_const,5.65685424949,1,1,0.6,1536827502401,1536827509353,0.7566772699356079
77,rattle_mod,1.4142135623700003,1,1,0.6,1536827509488,1536827512177,0.799284398555756
78,rattle_mod,1.4142135623700003,1,1,0.6,1536827512310,1536827515071,0.772429049015045
79,rattle_const,1.4142135623700003,1,1,0.6,1536827515216,1536827518324,0.35912939906120295
80,rattle_const,2.0,1,1,0.6,1536827518462,1536827522260,0.32379150390625
81,rattle_mod,1.4142135623700003,1,1,0.6,1536827522405,1536827525421,0.454374700784683
82,rattle_mod,1.4142135623700003,1,1,0.6,1536827525558,1536827528541,0.552000463008881
83,rattle_mod,2.0,1,1,0.6,1536827528681,1536827532315,0.423675566911697
84,rattle_const,4.0,1,1,0.6,1536827532459,1536827538047,0.463043212890625
85,rattle_const,1.4142135623700003,1,1,0.6,1536827538173,1536827540887,0.756102025508881
86,rattle_const,4.0,1,1,0.6,1536827541013,1536827546328,0.753326416015625
87,rattle_const,2.82842712475,1,1,0.6,1536827546455,1536827550689,0.6692779660224909
88,rattle_mod,5.65685424949,1,1,0.6,1536827550819,1536827557435,1.08315432071686
89,rattle_const,8.0,1,1,0.6,1536827557566,1536827565993,1.6254580020904499
90,rattle_const,2.0,1,1,0.6,1536827566124,1536827569140,1.06362926959991
91,rattle_mod,5.65685424949,1,1,0.6,1536827569285,1536827575858,1.13890993595123
92,rattle_const,8.0,1,1,0.6,1536827575994,1536827585021,1.0865478515625
93,rattle_const,1.4142135623700003,1,1,0.6,1536827585152,1536827587753,0.881071448326111
94,rattle_const,5.65685424949,1,1,0.6,1536827587885,1536827594621,1.00151979923248
95,rattle_const,8.0,1,1,0.6,1536827594769,1536827603699,1.12243664264679
96,rattle_mod,2.0,1,1,0.6,1536827603842,1536827607380,0.545288145542145
97,rattle_mod,8.0,1,1,0.6,1536827607526,1536827613929,3.6458740234375
98,rattle_mod,8.0,1,1,0.6,1536827614058,1536827620475,3.62194871902466
99,rattle_mod,2.82842712475,1,1,0.6,1536827620605,1536827624433,1.06759345531464
100,rattle_mod,2.82842712475,1,1,0.6,1536827624567,1536827628686,0.7453583478927609
101,rattle_mod,8.0,1,1,0.6,1536827628813,1536827635261,3.60311913490295
102,rattle_mod,2.0,1,1,0.6,1536827635393,1536827638394,1.1171875
103,rattle_mod,1.4142135623700003,1,1,0.6,1536827638524,1536827641005,1.0235371589660602
