,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,noise,2.82842712475,1.2,2.5,1,0.6,1537345464772,1537345470563,1.1287320536299899
1,noise,2.82842712475,1.2,2.5,1,0.6,1537345470677,1537345477577,1.65283073536221
2,noise,2.82842712475,1.2,2.5,1,0.6,1537345477684,1537345482696,1.15455952388051
3,noise,5.65685424949,0.0,2.0,1,0.6,1537345482802,1537345487335,1.45276041626192
4,noise,4.0,0.0,2.0,1,0.6,1537345487447,1537345492495,1.0666332250059498
5,noise,5.65685424949,1.2,4.5,1,0.6,1537345492606,1537345499760,1.59005567148193
6,noise,1.4142135623700003,1.2,2.5,1,0.6,1537345499868,1537345504973,0.8052397844983721
7,noise,4.0,1.2,4.5,1,0.6,1537345505083,1537345512547,1.06874677679412
8,noise,2.0,1.2,2.5,1,0.6,1537345512655,1537345517909,1.05973074346174
9,noise,1.0,1.2,2.5,1,0.6,1537345518017,1537345523510,0.7303212508005992
10,noise,1.0,1.2,4.5,1,0.6,1537345523620,1537345531870,0.7702138545491171
11,noise,4.0,0.0,2.0,1,0.6,1537345531983,1537345536896,1.0146493024041
12,noise,1.4142135623700003,0.0,2.0,1,0.6,1537345537007,1537345543231,0.759612407198239
13,noise,4.0,0.0,2.0,1,0.6,1537345543339,1537345549308,1.13473707368638
14,noise,4.0,1.2,2.5,1,0.6,1537345549416,1537345555160,1.16656586527915
15,noise,5.65685424949,1.2,4.5,1,0.6,1537345555269,1537345563294,1.5565871824212199
16,noise,2.0,1.2,4.5,1,0.6,1537345563400,1537345571349,0.9302877044726691
17,noise,2.0,0.0,2.0,1,0.6,1537345571458,1537345576109,1.07978450885108
18,noise,1.4142135623700003,1.2,4.5,1,0.6,1537345576223,1537345584243,0.874018103071669
19,noise,1.0,1.2,4.5,1,0.6,1537345584357,1537345592070,0.7545114286110508
20,noise,4.0,0.0,2.0,1,0.6,1537345592185,1537345597362,1.16910222374595
21,noise,1.0,1.2,4.5,1,0.6,1537345597470,1537345605027,0.728147129330198
22,noise,2.82842712475,1.2,4.5,1,0.6,1537345605142,1537345612858,1.0769070774190999
23,noise,2.82842712475,0.0,2.0,1,0.6,1537345612969,1537345618177,1.00965765478564
24,noise,2.0,0.0,2.0,1,0.6,1537345618286,1537345624125,1.3300029761799
25,noise,2.0,1.2,2.5,1,0.6,1537345624232,1537345629549,1.1867411907044099
26,noise,5.65685424949,0.0,2.0,1,0.6,1537345629666,1537345634802,1.83892558718088
27,noise,1.0,1.2,2.5,1,0.6,1537345634913,1537345640672,0.8168579022901801
28,noise,4.0,0.0,2.0,1,0.6,1537345640787,1537345645764,1.4362789602449502
29,noise,4.0,1.2,2.5,1,0.6,1537345645875,1537345651415,1.27431151459523
30,noise,2.0,1.2,4.5,1,0.6,1537345651536,1537345658855,1.0559092831971801
31,noise,5.65685424949,0.0,2.0,1,0.6,1537345658966,1537345666432,1.47213781327126
32,noise,1.0,1.2,4.5,1,0.6,1537345666544,1537345674096,1.00320421318595
33,noise,5.65685424949,1.2,4.5,1,0.6,1537345674206,1537345682339,1.41974035744708
34,noise,5.65685424949,0.0,2.0,1,0.6,1537345682454,1537345688070,1.7079941140786299
35,noise,2.0,1.2,2.5,1,0.6,1537345688178,1537345693737,1.25469121738657
36,noise,1.4142135623700003,1.2,2.5,1,0.6,1537345693850,1537345700283,1.04167575709204
37,noise,2.0,1.2,4.5,1,0.6,1537345700395,1537345708083,0.9661871383865741
38,noise,5.65685424949,1.2,2.5,1,0.6,1537345708198,1537345715322,1.1053850074376899
39,noise,2.0,0.0,2.0,1,0.6,1537345715434,1537345721160,0.8608222855457971
40,noise,1.4142135623700003,0.0,2.0,1,0.6,1537345721276,1537345727497,0.7835868036240821
41,noise,1.0,0.0,2.0,1,0.6,1537345727608,1537345734420,0.47100934621629104
42,noise,1.4142135623700003,1.2,4.5,1,0.6,1537345734530,1537345741588,0.6945469588281421
43,noise,4.0,1.2,4.5,1,0.6,1537345741703,1537345749272,1.0897643100657501
44,noise,1.4142135623700003,1.2,2.5,1,0.6,1537345749383,1537345754575,0.8679699753959671
45,noise,2.0,1.2,2.5,1,0.6,1537345754688,1537345760240,0.9967022230281259
46,noise,4.0,1.2,2.5,1,0.6,1537345760359,1537345766028,1.09221023181986
47,noise,5.65685424949,0.0,2.0,1,0.6,1537345766140,1537345770910,1.1569963199483002
48,noise,1.0,0.0,2.0,1,0.6,1537345771021,1537345775789,0.607260332502682
49,noise,4.0,1.2,2.5,1,0.6,1537345775906,1537345781909,0.922788733204659
50,noise,1.4142135623700003,1.2,2.5,1,0.6,1537345782025,1537345787360,0.944635998023172
51,noise,1.0,0.0,2.0,1,0.6,1537345787477,1537345792015,0.6450739871124721
52,noise,4.0,1.2,4.5,1,0.6,1537345792127,1537345799870,0.95622267565576
53,noise,2.82842712475,0.0,2.0,1,0.6,1537345799986,1537345804787,1.22824575553873
54,noise,4.0,1.2,4.5,1,0.6,1537345804900,1537345812375,1.17040110683576
55,noise,1.4142135623700003,0.0,2.0,1,0.6,1537345812488,1537345817200,0.70118883238676
56,noise,2.82842712475,0.0,2.0,1,0.6,1537345817313,1537345822521,1.15489300497505
57,noise,5.65685424949,0.0,2.0,1,0.6,1537345822632,1537345827709,1.3267865850911202
58,noise,5.65685424949,1.2,2.5,1,0.6,1537345827826,1537345833507,1.18002414225365
