,condition,start_distance,approach_speed,acceleration_time,height,trial_started,trial_ended,response
0,rattle_const,2.82842712475,1,1,0.6,1537521311211,1537521315206,0.979561686515808
1,rattle_const,8.0,1,1,0.6,1537521315335,1537521321620,3.8251006603241002
2,rattle_const,2.0,1,1,0.6,1537521321753,1537521324607,1.2249680757522599
3,rattle_mod,5.65685424949,1,1,0.6,1537521324745,1537521328756,3.68006658554077
4,rattle_const,1.4142135623700003,1,1,0.6,1537521328890,1537521331247,1.21286606788635
5,rattle_const,8.0,1,1,0.6,1537521331389,1537521337022,4.641845703125
6,rattle_const,8.0,1,1,0.6,1537521337160,1537521341632,5.58063173294067
7,rattle_const,2.0,1,1,0.6,1537521341749,1537521344178,1.69725728034973
8,rattle_mod,1.4142135623700003,1,1,0.6,1537521344301,1537521346418,1.2439976930618302
9,rattle_const,1.4142135623700003,1,1,0.6,1537521346546,1537521348754,1.1979266405105602
10,rattle_mod,2.0,1,1,0.6,1537521348881,1537521352259,0.6785125136375431
11,rattle_mod,8.0,1,1,0.6,1537521352399,1537521357591,4.880821228027339
12,rattle_mod,2.82842712475,1,1,0.6,1537521357721,1537521361166,1.526859998703
13,rattle_const,4.0,1,1,0.6,1537521361301,1537521365247,2.08576202392578
14,rattle_mod,4.0,1,1,0.6,1537521365375,1537521367898,3.51866722106934
15,rattle_const,5.65685424949,1,1,0.6,1537521368027,1537521373153,2.56112837791443
16,rattle_const,2.0,1,1,0.6,1537521373289,1537521376073,1.32183837890625
17,rattle_mod,2.82842712475,1,1,0.6,1537521376196,1537521379781,1.28805243968964
18,rattle_mod,2.0,1,1,0.6,1537521379908,1537521382833,1.10054016113281
19,rattle_mod,4.0,1,1,0.6,1537521382963,1537521386008,2.9994890689849902
20,rattle_mod,1.4142135623700003,1,1,0.6,1537521386147,1537521389008,0.5799621343612671
21,rattle_const,2.0,1,1,0.6,1537521389126,1537521392116,1.03627014160156
22,rattle_const,1.4142135623700003,1,1,0.6,1537521392256,1537521394954,0.7569488286972049
23,rattle_const,2.82842712475,1,1,0.6,1537521395083,1537521397979,1.98884260654449
24,rattle_mod,5.65685424949,1,1,0.6,1537521398109,1537521402128,3.7015626430511497
25,rattle_mod,1.4142135623700003,1,1,0.6,1537521402252,1537521404914,0.815077185630798
26,rattle_mod,4.0,1,1,0.6,1537521405040,1537521407513,3.58181262016296
27,rattle_const,2.0,1,1,0.6,1537521407657,1537521410404,1.30259704589844
28,rattle_const,8.0,1,1,0.6,1537521410529,1537521417149,3.49913763999939
29,rattle_const,5.65685424949,1,1,0.6,1537521417282,1537521422733,2.25636434555054
30,rattle_const,2.82842712475,1,1,0.6,1537521422873,1537521426408,1.34950721263886
31,rattle_const,2.0,1,1,0.6,1537521426541,1537521429365,1.22357189655304
32,rattle_const,2.0,1,1,0.6,1537521429495,1537521432300,1.29441857337952
33,rattle_mod,5.65685424949,1,1,0.6,1537521432421,1537521436381,3.75385427474976
34,rattle_mod,8.0,1,1,0.6,1537521436501,1537521440582,5.956878662109379
35,rattle_mod,4.0,1,1,0.6,1537521440724,1537521443525,3.24163055419922
36,rattle_mod,2.82842712475,1,1,0.6,1537521443645,1537521446994,1.57404017448425
37,rattle_mod,2.0,1,1,0.6,1537521447124,1537521450100,1.05857849121094
38,rattle_const,8.0,1,1,0.6,1537521450228,1537521457717,2.53762817382813
39,rattle_mod,2.0,1,1,0.6,1537521457853,1537521460822,1.08058166503906
40,rattle_mod,5.65685424949,1,1,0.6,1537521460947,1537521464928,3.71741700172424
41,rattle_const,4.0,1,1,0.6,1537521465058,1537521468515,2.60000610351563
42,rattle_mod,8.0,1,1,0.6,1537521468651,1537521473730,4.98469543457031
43,rattle_const,2.82842712475,1,1,0.6,1537521473855,1537521476912,1.8066226243972798
44,rattle_mod,5.65685424949,1,1,0.6,1537521477047,1537521480861,3.94326210021973
45,rattle_const,8.0,1,1,0.6,1537521480992,1537521487303,3.7438962459564196
46,rattle_mod,8.0,1,1,0.6,1537521487435,1537521492848,4.6249856948852495
47,rattle_mod,2.82842712475,1,1,0.6,1537521492975,1537521496418,1.4218566417694098
48,rattle_const,4.0,1,1,0.6,1537521496554,1537521501248,1.40415954589844
49,rattle_const,1.4142135623700003,1,1,0.6,1537521501374,1537521504409,0.41342014074325606
50,rattle_const,2.0,1,1,0.6,1537521504549,1537521507541,1.0255891084671
51,rattle_mod,2.0,1,1,0.6,1537521507681,1537521510741,0.983856201171875
52,rattle_mod,2.82842712475,1,1,0.6,1537521510867,1537521514435,1.3035402297973602
53,rattle_const,2.0,1,1,0.6,1537521514561,1537521517837,0.78302001953125
54,rattle_const,2.0,1,1,0.6,1537521517961,1537521521128,0.873870968818665
55,rattle_mod,5.65685424949,1,1,0.6,1537521521256,1537521525292,3.65400075912476
56,rattle_const,1.4142135623700003,1,1,0.6,1537521525418,1537521528115,0.747755348682404
57,rattle_mod,4.0,1,1,0.6,1537521528240,1537521532290,2.0020751953125
58,rattle_mod,2.82842712475,1,1,0.6,1537521532414,1537521535835,1.4540832042694098
59,rattle_mod,2.0,1,1,0.6,1537521535965,1537521538861,1.144287109375
60,rattle_const,8.0,1,1,0.6,1537521538986,1537521545890,3.1625828742980997
61,rattle_mod,1.4142135623700003,1,1,0.6,1537521546019,1537521548846,0.592222630977631
62,rattle_const,5.65685424949,1,1,0.6,1537521548982,1537521553811,2.9432158470153795
63,rattle_mod,4.0,1,1,0.6,1537521553937,1537521556912,3.09654259681702
64,rattle_mod,5.65685424949,1,1,0.6,1537521557041,1537521561129,3.6738524436950697
65,rattle_mod,4.0,1,1,0.6,1537521561260,1537521564411,2.86212158203125
66,rattle_const,1.4142135623700003,1,1,0.6,1537521564550,1537521567036,0.956711828708649
67,rattle_mod,1.4142135623700003,1,1,0.6,1537521567165,1537521569819,0.8156418800354001
68,rattle_const,5.65685424949,1,1,0.6,1537521569947,1537521575196,2.51407790184021
69,rattle_mod,5.65685424949,1,1,0.6,1537521575327,1537521579290,3.81452345848084
70,rattle_const,4.0,1,1,0.6,1537521579416,1537521582808,2.6583251953125
71,rattle_mod,4.0,1,1,0.6,1537521582940,1537521585316,3.66236615180969
72,rattle_const,1.4142135623700003,1,1,0.6,1537521585443,1537521587834,1.0497215986251802
73,rattle_const,5.65685424949,1,1,0.6,1537521587962,1537521592859,2.7927641868591295
74,rattle_mod,5.65685424949,1,1,0.6,1537521593005,1537521596609,4.16379737854004
75,rattle_const,1.4142135623700003,1,1,0.6,1537521596754,1537521599529,0.678678870201111
76,rattle_const,4.0,1,1,0.6,1537521599655,1537521604221,1.4642790555954
77,rattle_const,1.4142135623700003,1,1,0.6,1537521604363,1537521607339,0.49598538875579795
78,rattle_const,1.4142135623700003,1,1,0.6,1537521607464,1537521610275,0.701307654380798
79,rattle_mod,4.0,1,1,0.6,1537521610404,1537521613583,2.8796541690826403
80,rattle_mod,4.0,1,1,0.6,1537521613711,1537521616542,3.2361907958984397
81,rattle_mod,8.0,1,1,0.6,1537521616673,1537521621958,4.79707384109497
82,rattle_mod,4.0,1,1,0.6,1537521622085,1537521625530,2.5988922119140603
83,rattle_mod,2.0,1,1,0.6,1537521625672,1537521628500,1.2053527832031299
84,rattle_mod,2.0,1,1,0.6,1537521628635,1537521631529,1.22052001953125
85,rattle_mod,2.82842712475,1,1,0.6,1537521631652,1537521635246,1.2829864025116
86,rattle_const,5.65685424949,1,1,0.6,1537521635389,1537521640772,2.4020628929138197
87,rattle_const,5.65685424949,1,1,0.6,1537521640903,1537521645505,3.0902953147888197
88,rattle_const,5.65685424949,1,1,0.6,1537521645650,1537521650170,3.17803335189819
89,rattle_const,2.82842712475,1,1,0.6,1537521650309,1537521653556,1.6334809064865101
90,rattle_const,4.0,1,1,0.6,1537521653704,1537521657875,1.8658446073532098
