,condition,distance,approach_speed,approach_time,acceleration_time,height,trial_started,trial_ended,response
0,noise,4.0,1.2,4.5,1,0.6,1534235574660,1534235584308,2.68610761438658
1,noise,1.4142135623700003,1.2,2.5,1,0.6,1534235584426,1534235590609,1.82951325874405
2,noise,2.0,1.2,4.5,1,0.6,1534235590728,1534235599064,3.0913579000116096
3,noise,2.82842712475,0.0,2.0,1,0.6,1534235599178,1534235606830,5.01642097755495
4,noise,1.0,0.0,2.0,1,0.6,1534235606949,1534235612092,1.8872282699824199
5,noise,5.65685424949,1.2,2.5,1,0.6,1534235612214,1534235618347,5.08569887373374
6,noise,4.0,1.2,2.5,1,0.6,1534235618463,1534235626110,5.85889479790447
7,noise,1.4142135623700003,1.2,4.5,1,0.6,1534235626223,1534235635107,1.67650665864779
8,noise,2.0,0.0,2.0,1,0.6,1534235635222,1534235639467,1.4383548860574498
9,noise,2.82842712475,0.0,2.0,1,0.6,1534235639585,1534235644952,2.6464271480133
10,noise,2.0,1.2,4.5,1,0.6,1534235645070,1534235653122,0.925352211262207
11,noise,4.0,1.2,2.5,1,0.6,1534235653239,1534235658639,3.24154418330356
12,noise,2.82842712475,0.0,2.0,1,0.6,1534235658760,1534235663707,2.0913731261404602
13,noise,1.4142135623700003,0.0,2.0,1,0.6,1534235663822,1534235668122,0.8225357815792641
14,noise,4.0,1.2,4.5,1,0.6,1534235668236,1534235677189,2.83542135281983
15,noise,2.0,1.2,4.5,1,0.6,1534235677311,1534235685672,1.32487960867204
16,noise,4.0,0.0,2.0,1,0.6,1534235685789,1534235694402,1.78170530467455
17,noise,4.0,0.0,2.0,1,0.6,1534235694519,1534235700546,2.63570685188575
18,noise,4.0,0.0,2.0,1,0.6,1534235700661,1534235707937,3.6057147717081
19,noise,1.4142135623700003,1.2,2.5,1,0.6,1534235708055,1534235713667,1.23455679836178
20,noise,2.0,0.0,2.0,1,0.6,1534235713785,1534235719121,1.1994280868656202
21,noise,1.0,1.2,4.5,1,0.6,1534235719238,1534235728494,0.845619579895901
22,noise,1.4142135623700003,0.0,2.0,1,0.6,1534235728611,1534235734134,0.815108253313494
23,noise,4.0,0.0,2.0,1,0.6,1534235734250,1534235738521,2.26084863059689
24,noise,1.0,1.2,2.5,1,0.6,1534235738636,1534235744493,0.8606700492768391
25,noise,5.65685424949,1.2,4.5,1,0.6,1534235744610,1534235752110,5.2324188000944805
26,noise,5.65685424949,1.2,2.5,1,0.6,1534235752226,1534235759163,4.80842329173701
27,noise,1.0,1.2,2.5,1,0.6,1534235759284,1534235764977,0.709256843948732
28,noise,2.82842712475,1.2,2.5,1,0.6,1534235765088,1534235770280,2.34952981289819
29,noise,2.0,0.0,2.0,1,0.6,1534235770393,1534235775574,1.6992577285633799
30,noise,2.82842712475,0.0,2.0,1,0.6,1534235775693,1534235783016,2.36570645091441
31,noise,5.65685424949,0.0,2.0,1,0.6,1534235783128,1534235787599,5.23007214702966
32,noise,4.0,1.2,2.5,1,0.6,1534235787718,1534235793375,5.38620391069739
33,noise,1.0,1.2,4.5,1,0.6,1534235793495,1534235803789,1.9130639561373701
34,noise,2.0,1.2,4.5,1,0.6,1534235803903,1534235812189,2.21284567928887
35,noise,5.65685424949,1.2,4.5,1,0.6,1534235812310,1534235820266,3.89647020714951
36,noise,2.82842712475,0.0,2.0,1,0.6,1534235820385,1534235824908,2.60415565078082
37,noise,1.4142135623700003,1.2,4.5,1,0.6,1534235825026,1534235833081,1.38662031624003
38,noise,5.65685424949,1.2,2.5,1,0.6,1534235833199,1534235839284,8.52433917005299
39,noise,4.0,1.2,4.5,1,0.6,1534235839401,1534235849632,3.9635928367610402
40,noise,1.4142135623700003,1.2,4.5,1,0.6,1534235849747,1534235857721,1.2482135063934099
41,noise,4.0,1.2,4.5,1,0.6,1534235857842,1534235865546,5.926745918053969
42,noise,2.82842712475,0.0,2.0,1,0.6,1534235865659,1534235870040,3.02303279764809
43,noise,1.4142135623700003,0.0,2.0,1,0.6,1534235870158,1534235874960,0.79509062917952
44,noise,1.0,1.2,2.5,1,0.6,1534235875080,1534235881122,0.7855990660661339
45,noise,2.82842712475,1.2,2.5,1,0.6,1534235881240,1534235886747,3.08200141440328
46,noise,2.0,1.2,2.5,1,0.6,1534235886865,1534235892656,2.22214208350906
47,noise,2.82842712475,1.2,4.5,1,0.6,1534235892777,1534235900347,4.10361733590037
48,noise,2.82842712475,1.2,4.5,1,0.6,1534235900467,1534235908535,2.60610382720968
49,noise,2.82842712475,1.2,4.5,1,0.6,1534235908653,1534235916457,2.19261998936918
50,noise,5.65685424949,0.0,2.0,1,0.6,1534235916575,1534235921856,4.72850987801994
51,noise,2.0,1.2,2.5,1,0.6,1534235921974,1534235929163,3.4403943289356
52,noise,1.0,0.0,2.0,1,0.6,1534235929282,1534235933963,0.963800922433096
53,noise,2.82842712475,1.2,2.5,1,0.6,1534235934078,1534235940841,4.231696991287
